,brand,product,price,rating,rating_counts,link,material_info
0,Roadster,Men Cotton Casual Shirt,499,"4.2
|
9.6k","|
9.6k",https://www.myntra.com/shirts/roadster/roadster-men-black-pure-cotton-sustainable-casual-shirt/10398211/buy,"Material: 100% cotton
Machine Wash"
1,The Indian Garage Co,Men Slim Fit Casual Shirt,626,"4.1
|
12.2k","|
12.2k",https://www.myntra.com/shirts/the-indian-garage-co/the-indian-garage-co-men-white--teal-blue-slim-fit-striped-casual-shirt/10673544/buy,"100% cotton
Machine-wash"
2,Roadster,Printed Casual Shirt,689,"4.1
|
29.7k","|
29.7k",https://www.myntra.com/shirts/roadster/roadster-men-blue-printed-casual-sustainable-shirt/1364628/buy,"Cotton
Machine-wash"
3,Roadster,Men Checked Casual Shirt,714,"4.2
|
6.8k","|
6.8k",https://www.myntra.com/shirts/roadster/roadster-men-navy-blue--grey-checked-casual-sustainable-shirt/8889597/buy,"100% Cotton
Machine-wash"
4,HIGHLANDER,Slim Fit Casual Shirt,503,"4.3
|
15.3k","|
15.3k",https://www.myntra.com/shirts/highlander/highlander-men-green--white-slim-fit-printed-casual-shirt/11780968/buy,"Material: Cotton
Machine Wash"
5,LOCOMOTIVE,Men Slim Fit Casual Shirt,593,"4.1
|
7.8k","|
7.8k",https://www.myntra.com/shirts/locomotive/locomotive-men-black--grey-slim-fit-checked-casual-shirt/10341699/buy,"Cotton Blend
Machine wash"
6,Dennis Lingo,Men Slim Fit Casual Shirt,599,"4.1
|
16.2k","|
16.2k",https://www.myntra.com/shirts/dennis-lingo/dennis-lingo-men-pink-slim-fit-casual-shirt/7488102/buy,"100% cotton
Machine-wash"
7,HERE&NOW,Slim Fit Casual Shirt,649,"4.3
|
1k","|
1k",https://www.myntra.com/shirts/herenow/herenow-men-black-slim-fit-casual-shirt/19818628/buy,"Viscose Rayon
Machine wash"
8,Roadster,Men Casual Shirt,649,"4.2
|
8k","|
8k",https://www.myntra.com/shirts/roadster/roadster-men-white-sustainable-casual-shirt/10398123/buy,"Material: Cotton
Machine Wash"
9,Roadster,Men Cotton Casual Shirt,599,"4.2
|
29.5k","|
29.5k",https://www.myntra.com/shirts/roadster/roadster-men-black-pure-cotton-sustainable-casual-shirt/2127876/buy,"100% cotton
Machine-wash"
10,HIGHLANDER,Men Slim Fit Casual Shirt,604,"4.2
|
8k","|
8k",https://www.myntra.com/shirts/highlander/highlander-men-white-slim-fit-casual-shirt/2050688/buy,"Cotton
Machine-wash"
11,Roadster,Washed Casual Shirt,827,"4
|
5.3k","|
5.3k",https://www.myntra.com/shirts/roadster/roadster-men-blue-denim-washed-casual-sustainable-shirt/1358818/buy,"100% cotton
Machine-wash
Wash separately"
12,HERE&NOW,Men Cotton Casual Shirt,899,"4.4
|
6.7k","|
6.7k",https://www.myntra.com/shirts/herenow/herenow-men-maroon-pure-cotton-casual-shirt/7288105/buy,"100% Cotton
Machine-wash"
13,Roadster,Men Cotton Casual Shirt,824,"4.3
|
16.2k","|
16.2k",https://www.myntra.com/shirts/roadster/roadster-men-black--white-checked-pure-cotton-casual-sustainable-shirt/8889611/buy,"100% cotton
Machine-wash"
14,Roadster,Regular Faded Denim Shirt,827,"4
|
4.8k","|
4.8k",https://www.myntra.com/shirts/roadster/roadster-men-blue-faded-denim-sustainable-shirt/1491652/buy,"Cotton
Machine-wash"
15,Tommy Hilfiger,Super Skinny Fit Casual Shirt,2249,"4
|
51","|
51",https://www.myntra.com/shirts/tommy-hilfiger/tommy-hilfiger-men-super-skinny-fit-casual-shirt/18826232/buy,"64% Cotton, 31% Polyester and 5% Elastane
Machine Wash"
16,Dennis Lingo,Men Slim Fit Casual Shirt,649,"4.2
|
10.5k","|
10.5k",https://www.myntra.com/shirts/dennis-lingo/dennis-lingo-men-olive-green-slim-fit-casual-shirt/7488103/buy,"100% cotton
Machine-wash"
