,brand,product,price,rating,rating_counts,link,material_info
0,KRA,Men Straight Fit Cargos Trousers,1875,"3.8
|
440","|
440",https://www.myntra.com/trousers/kra/kra-men-olive-green-straight-fit-easy-wash-cargos-trousers/17714174/buy,"Cotton
Machine Wash"
1,HIGHLANDER,Men Slim Fit Cargos,832,"4.1
|
4.4k","|
4.4k",https://www.myntra.com/trousers/highlander/highlander-men-olive-green-slim-fit-cargos/8098455/buy,"Cotton and other
Machine-wash"
2,Roadster,Regular Fit Solid Trousers,688,"4.1
|
1.5k","|
1.5k",https://www.myntra.com/trousers/roadster/roadster-men-black-regular-fit-solid-trousers/13859544/buy,"98% Cotton and 2% elastane
Machine-wash"
3,DENNISON,Men Tapered Fit Trousers,909,"3.8
|
4.8k","|
4.8k",https://www.myntra.com/trousers/dennison/dennison-men-black-tapered-fit-cropped-trousers/7719545/buy,"Cotton
Machine-wash"
4,HIGHLANDER,Men Tapered Fit Chinos,743,"3.8
|
7.7k","|
7.7k",https://www.myntra.com/trousers/highlander/highlander-men-grey-tapered-fit-chinos/2290040/buy,"Cotton elastane blend
Machine-wash"
5,HIGHLANDER,Men Tapered Fit Chinos,743,"4
|
6.9k","|
6.9k",https://www.myntra.com/trousers/highlander/highlander-men-grey-tapered-fit-solid-cropped-chinos/3881067/buy,"98.5% Cotton and 1.5% Elastane
Machine-wash"
6,Roadster,Men Cotton Trousers,749,"4.1
|
798","|
798",https://www.myntra.com/trousers/roadster/roadster-men-black-pure-cotton-trousers/13859322/buy,"Material: 100% Cotton, 
Machine Wash"
7,IVOC,Men Slim Fit Cargos Trousers,1103,"3.9
|
1.4k","|
1.4k",https://www.myntra.com/trousers/ivoc/ivoc-men-olive-slim-fit-pure-cotton-cargos-trousers/16119774/buy,"100% Cotton
Gentle Machine Wash."
8,HIGHLANDER,Men Tapered Fit Chinos,743,"4.1
|
15k","|
15k",https://www.myntra.com/trousers/highlander/highlander-men-black-tapered-fit-chinos/2290039/buy,"Cotton and elastane
Machine-wash"
9,HIGHLANDER,Men Ankle Length Chinos,743,"4
|
7k","|
7k",https://www.myntra.com/trousers/highlander/highlander-men-olive-green-tapered-fit-ankle-length-chinos/5125961/buy,"98% Cotton and 2% Elastane
Machine-wash"
