,brand,product,price,rating,rating_counts,link,material_info
0,Louis Philippe,Men Pure Cotton Formal Shirt,1499,"4.3
|
13","|
13",https://www.myntra.com/shirts/louis-philippe/louis-philippe-men-pure-cotton-classic-formal-shirt/20646902/buy,"100% Cotton
Machine wash"
1,Louis Philippe,Men Pure Cotton Formal Shirt,1559,"4.4
|
22","|
22",https://www.myntra.com/shirts/louis-philippe/louis-philippe-men-pure-cotton-slim-fit-textured-formal-shirt/20864086/buy,"100% Cotton
Machine wash"
2,Louis Philippe,Men Pure Cotton Formal Shirt,1499,"4.4
|
42","|
42",https://www.myntra.com/shirts/louis-philippe/louis-philippe-men-pink-solid-classic-pure-cotton-formal-shirt/20647046/buy,"100% Cotton, 
Gentle wash"
3,Louis Philippe,Men Pure Cotton Formal Shirt,1499,"4.7
|
16","|
16",https://www.myntra.com/shirts/louis-philippe/louis-philippe-men-blue-pure-cotton-long-sleeves-formal-shirt/20647030/buy,"100% Cotton
Machine Wash"
4,Louis Philippe,Pure Cotton Formal Shirt,1499,"4.4
|
26","|
26",https://www.myntra.com/shirts/louis-philippe/louis-philippe-men-lavender-classic-fit-solid-opaque-pure-cotton-formal-shirt/20646928/buy,"100% Cotton
Machine wash, cold"
5,Hancock,Slim Fit Formal Shirt,547,"4.1
|
3.1k","|
3.1k",https://www.myntra.com/shirts/hancock/hancock-men-black-slim-fit-formal-shirt/1849875/buy,"Cotton
Machine-wash"
6,Louis Philippe,Pure Cotton Formal Shirt,1499,"4.6
|
27","|
27",https://www.myntra.com/shirts/louis-philippe/louis-philippe-men-turquoise-blue-classic-fit-pinstripes-opaque-pure-cotton-formal-shirt/20646700/buy,"100% Cotton
Machine wash, cold"
7,RARE RABBIT,Slim Fit Formal Shirt,3499,"4.8
|
22","|
22",https://www.myntra.com/shirts/rare-rabbit/rare-rabbit-men-purple-slim-fit-formal-shirt/19938338/buy,"Cotton
Hand Wash"
8,Louis Philippe,Men Slim Fit Formal Shirt,1439,"4.1
|
61","|
61",https://www.myntra.com/shirts/louis-philippe/louis-philippe-men-cream-coloured-solid-classic-slim-fit-pure-cotton-formal-shirt/19092282/buy,"100% Premium Cotton
Gentle Wash Only"
9,Hancock,Men Cotton Formal Shirt,1374,"4.3
|
59","|
59",https://www.myntra.com/shirts/hancock/hancock-men-white-pure-cotton-slim-fit-formal-shirt/17090996/buy,"100% cotton
Machine wash"
