,brand,product,price,rating,rating_counts,link,material_info
0,SOJANYA,Men Self Design Kurta with Churidar,1594,"3.7
|
22","|
22",https://www.myntra.com/kurta-sets/sojanya/sojanya-men-black--khaki-self-design-kurta-with-churidar--nehru-jacket/6518466/buy,"Top fabric: Silk Blend
Bottom fabric: Silk Blend
Machine-wash"
1,SHRESTHA BY VASTRAMAY,Men Embroidered Kurta Set,3848,,,https://www.myntra.com/kurta-sets/shrestha-by-vastramay/shrestha-by-vastramay-men-maroon-embroidered-mirror-work-kurta-with-dhoti-pants/20983034/buy,"Kurta Fabric- Viscose Rayon
Dhoti Pants Fabric- Cotton Blend
Dry Clean"
2,Sztori,Plus Size Cotton Linen Kurta,1469,,,https://www.myntra.com/kurtas/sztori/sztori-men-plus-size-band-collar-roll-up-cuffed-sleeves-cotton-linen-kurta/17771188/buy,"87% Cotton, 13% Linen
Hand wash
Machine wash"
3,VASTRAMAY,Men Kurta with Pyjamas Set,4498,,,https://www.myntra.com/kurta-sets/vastramay/vastramay-men-cream-coloured-kurta-with-pyjamas--with-floral-printed-blazer/19902558/buy,"Viscose-rayon
Dry Clean"
4,SOJANYA,Cotton Kurta Set Nehru Jacket,1799,,,https://www.myntra.com/kurta-sets/sojanya/sojanya-men-black-solid-cotton-straight-kurta-churidar--woven-design-nehru-jacket/17355808/buy,"Kurta Pyjama: 100% Cotton,
Nehru Jacket: 80% Silk, 20% Cotton
machine-wash"
5,SOJANYA,Embroidered Kurta with Churidar,1399,"3.7
|
44","|
44",https://www.myntra.com/kurta-sets/sojanya/sojanya-men-green-embroidered-kurta-with-churidar/11736136/buy,"Top fabric: Pure Cotton
Bottom fabric: Pure Cotton
Machine-wash"
6,House of Pataudi,Men Jashn Kurta,2199,,,https://www.myntra.com/kurtas/house-of-pataudi/house-of-pataudi-men-burgundy-jashn-kurta/18587156/buy,"Polyester
Machine wash"
7,See Designs,Men Printed Kurta,989,"4.4
|
133","|
133",https://www.myntra.com/kurtas/see-designs/see-designs-men-grey-printed-kurta/15211114/buy,"100% Cotton
Hand wash"
8,SOJANYA PLUS,Plus Size Jacquard Silk Kurta,1719,"4.3
|
12","|
12",https://www.myntra.com/kurtas/sojanya-plus/sojanya-plus-men-pink--golden-jacquard-silk-woven-design-straight-kurta/17554134/buy,"Material: 80% Silk, 20% Cotton
Machine-wash"
9,Anouk,Men Striped Kurta,569,"4.3
|
20","|
20",https://www.myntra.com/kurtas/anouk/anouk-men-pink--brown-striped-kurta/18331810/buy,"Cotton
Machine wash"
10,HERE&NOW,Men Kurta with Trousers,999,"4.4
|
16","|
16",https://www.myntra.com/kurta-sets/herenow/herenow-men-coral-orange-kurta-with-trousers/18411598/buy,"Polyester
Machine Wash"
11,KISAH PLUS,Solid Kurta Set with Jacket,3374,,,https://www.myntra.com/kurta-sets/kisah-plus/kisah-plus-men-olive-green--off-white-solid-kurta-set-with-jacket/13366252/buy,"Top fabric: Cotton Blend
Bottom fabric: Cotton Blend
Dry-clean"
12,KISAH,Men Kurta Set,3399,"4.4
|
27","|
27",https://www.myntra.com/kurta-sets/kisah/kisah-men-olive-green--off-white-kurta-set/10748400/buy,"Top fabric: Silk Blend
Bottom fabric: Silk Blend
Jacket fabric: Benarasi Jute Silk
Dry-clean"
