,brand,product,price,rating,rating_counts,link,material_info
0,SOJANYA,Men Kurta with Pyjamas,1884,"4.1
|
202","|
202",https://www.myntra.com/kurta-sets/sojanya/sojanya-men-blue-ethnic-motifs-kurta-with-pyjamas--nehru-jacket/17326994/buy,"Kurta & Nehrujacket: Silk Blend (80% Silk, 20% Cotton), Bottom: 100% Cotton
Machine Wash"
1,KISAH,Men Solid Kurta with Churidar,3955,"4
|
883","|
883",https://www.myntra.com/kurta-sets/kisah/kisah-men-green--white-solid-kurta-with-churidar/11159934/buy,"Top fabric: Pure Cotton
Bottom fabric: Silk Blend
Dry-clean"
2,Jompers,Printed Straight Kurta,968,"4.1
|
3.2k","|
3.2k",https://www.myntra.com/kurtas/jompers/jompers-men-yellow-printed-straight-kurta/11226756/buy,"Material: Cotton
Hand Wash"
3,SHRESTHA BY VASTRAMAY,Men Mirror Work Kurta Set,4743,"4.6
|
7","|
7",https://www.myntra.com/kurta-sets/shrestha-by-vastramay/shrestha-by-vastramay-men-black-mirror-work-kurta-with-trousers--nehru-jacket/20988258/buy,"Viscous Rayon
Dry Clean"
4,SHRESTHA BY VASTRAMAY,Men Self-Design Sherwani Set,4816,"4.1
|
44","|
44",https://www.myntra.com/sherwani/shrestha-by-vastramay/shrestha-by-vastramay-men-navy-blue--black-self-design-silk-blend-sherwani-set/19983300/buy,"Silk blend
Dry Clean"
5,Jompers,Embroidered Kurta & Churidar,1199,"4.1
|
1.8k","|
1.8k",https://www.myntra.com/kurta-sets/jompers/jompers-men-mustard--white-embroidered-kurta-with-churidar/13269470/buy,"Top fabric: Pure Cotton
Bottom fabric: Pure Cotton
Machine-wash"
6,SOJANYA,Men Kurta with Churidar,1884,"4
|
178","|
178",https://www.myntra.com/kurta-sets/sojanya/sojanya-men-green-ethnic-motifs-kurta-with-churidar-with-nehru-jacket/17327074/buy,"Kurta & Nehrujacket: Silk Blend (80% Silk, 20% Cotton), Bottom: 100% Cotton"
7,SOJANYA,Men Solid Kurta Set,1919,"4
|
233","|
233",https://www.myntra.com/kurta-sets/sojanya/sojanya-men-black-solid-kurta-with-churidar--nehru-jacket/16315896/buy,"Top fabric: 80% silk, 20% cotton
Bottom fabric: 80% silk, 20% cotton
Nehru jacket: 80% silk, 20% cotton
Machine wash"
8,KISAH,Solid Kurta with Pyjamas,3525,"4
|
296","|
296",https://www.myntra.com/kurta-sets/kisah/kisah-men-black--green-solid-kurta-with-pyjamas-with-nehru-jacket/12943470/buy,"Top fabric: Cotton Blend
Bottom fabric: Cotton Blend
Dry-clean"
9,SHRESTHA BY VASTRAMAY,Men Mirror Work Sherwani Set,5949,"4.3
|
7","|
7",https://www.myntra.com/sherwani/shrestha-by-vastramay/shrestha-by-vastramay-men-purple-mirror-work-sherwani-set/19996148/buy,"Cotton
Dry Clean"
10,SOJANYA,Men Kurta with Pyjamas,1884,"4
|
108","|
108",https://www.myntra.com/kurta-sets/sojanya/sojanya-men-pink-ethnic-motifs-kurta-with-pyjamas--nehru-jacket/17326952/buy,"Kurta & Nehrujacket: Silk Blend (80% Silk, 20% Cotton), Bottom: 100% Cotton
Machine Wash"
11,SOJANYA,Men Kurta with Pyjamas,1884,"4.1
|
130","|
130",https://www.myntra.com/kurta-sets/sojanya/sojanya-men-pink-ethnic-motifs-kurta-with-pyjamas--nehru-jacket/17326924/buy,"Kurta & Nehrujacket: Silk Blend (80% Silk, 20% Cotton), Bottom: 100% Cotton
Machine Wash"
12,VASTRAMAY,Men Kurta Churidar With Jacket,2278,"3.8
|
13","|
13",https://www.myntra.com/kurta-sets/vastramay/vastramay-men-printed-kurta-with-churidar-with-jacket/19948430/buy,"Viscose Rayon
Dry Clean"
13,SHRESTHA BY VASTRAMAY,Men Printed Georgette Kurta,2399,"4.3
|
106","|
106",https://www.myntra.com/kurtas/shrestha-by-vastramay/shrestha-by-vastramay-mens-black-mirror-work-georgette-straight-kurta/19865848/buy,"Georgette
Dry Clean preferably or cold light wash"
14,KISAH,Men Kurta with Churidar,3353,"4.2
|
713","|
713",https://www.myntra.com/kurta-sets/kisah/kisah-men-peach--mauve-jacquard-banarasi-kurta-with-churidar--nehru-jacket/6611884/buy,"Banarasi cotton silk
Dry-clean"
15,Manyavar,Embroidered Kurta with Churidar,3999,"4.1
|
50","|
50",https://www.myntra.com/kurta-sets/manyavar/manyavar-men-navy-blue--white-embroidered-kurta-with-churidar/13412388/buy,"Top fabric: Pure Cotton
Bottom fabric: Pure Cotton
Dry-clean"
16,Jompers,Woven Design Straight Kurta,953,"4.1
|
2.4k","|
2.4k",https://www.myntra.com/kurtas/jompers/jompers-men-green--gold-toned-woven-design-straight-kurta/10208547/buy,"Dupion Silk
Machine-wash"
17,Wintage,Single-Breasted Blazer,3024,"3.8
|
58","|
58",https://www.myntra.com/blazers/wintage/wintage-mens-green-solid-single-breasted-velvet-blazer/7514184/buy,"Velvet
Dry clean"
18,SHRESTHA BY VASTRAMAY,Men Kurta Set With Dupatta,4597,,,https://www.myntra.com/kurta-sets/shrestha-by-vastramay/shrestha-by-vastramay-men-black-embroidered-mirror-work-kurta-with-trousers--dupatta/20950732/buy,"Kurta Material: Poly georgette
Pyjama Material: Viscose Rayon 
Dupatta Material: Viscose Rayon 
Machine Wash"
19,SHRESTHA BY VASTRAMAY,Kurta with Pyjamas & Dupatta,4991,"4
|
10","|
10",https://www.myntra.com/kurta-sets/shrestha-by-vastramay/shrestha-by-vastramay-men-cream-solid-kurta-pyjama-set-with-mirror-work-dupatta--jacket/19983202/buy,"Viscose
Dry Clean"
20,Anouk,Men Geometric Printed Kurta,1049,"4.3
|
238","|
238",https://www.myntra.com/kurtas/anouk/anouk-men-mustard-yellow--white-geometric-printed-kurta/17094664/buy,"100% cotton
Machine wash"
21,Anouk,Men Kurta with Pyjamas,2299,"4.2
|
10","|
10",https://www.myntra.com/kurta-sets/anouk/anouk-men-mustard-yellow--white-pure-cotton-kurta-with-pyjamas--nehru-jacket/18331206/buy,"Top fabric: Pure Cotton
Bottom fabric: Pure Cotton
Nehru Jacket: Polyester
Machine wash"
22,KISAH,Men Printed Kurta with Churidar,3525,"4.1
|
289","|
289",https://www.myntra.com/kurta-sets/kisah/kisah-men-cream-coloured-printed-kurta-with-churidar/10778132/buy,"Top fabric: Cotton Blend
Bottom fabric: Silk Blend
Dry-clean"
23,KISAH,Men Kurta with Pyjamas,3795,"4
|
78","|
78",https://www.myntra.com/kurta-sets/kisah/kisah-men-white--pink-regular-kurta-with-pyjamas/15583104/buy,"Top fabric: Cotton Blend
Bottom fabric: Cotton Blend
Dry clean"
24,Manyavar,Men Embroidered Kurta with Pyjamas,3499,"4.3
|
162","|
162",https://www.myntra.com/kurta-sets/manyavar/manyavar-men-navy-blue-embroidered-regular-thread-work-kurta-with-pyjamas/14914068/buy,"Top fabric: Viscose Rayon
Bottom fabric: Cotton Blend
Dry clean"
25,SOJANYA,Floral Kurta Set Nehru Jacket,1903,"4.3
|
67","|
67",https://www.myntra.com/kurta-sets/sojanya/sojanya-men-maroon--gold-floral-straight-kurta-churidar--sequined-nehru-jacket/17356112/buy,"Kurta & Nehru jacket: 80% Silk, 20% Cotton
Bottom: 100% Cotton
Machine-wash"
26,SHRESTHA BY VASTRAMAY,Kurta with Trousers & Dupatta,5949,,,https://www.myntra.com/kurta-sets/shrestha-by-vastramay/shrestha-by-vastramay-men-black-mirror-work-kurta-with-trousers--dupatta/20988272/buy,"Viscose Rayon
Dry Clean"
27,Jompers,Men Embroidered Cotton Kurta,965,"4.2
|
18","|
18",https://www.myntra.com/kurtas/jompers/jompers-men-mustard-ethnic-motifs-embroidered-thread-work-cotton-kurta/21441212/buy,"Cotton
Machine wash"
28,See Designs,Men Solid Pyjamas,610,"4.2
|
4.1k","|
4.1k",https://www.myntra.com/pyjamas/see-designs/see-designs-men-white-solid-pyjamas/12670430/buy,"Cotton 
Machine-wash"
29,Anouk,Men Geometric Printed Kurta,999,"4.4
|
197","|
197",https://www.myntra.com/kurtas/anouk/anouk-men-blue-geometric-printed-kurta/17543242/buy,"100% Cotton 
Machine wash"
30,SOJANYA,Men Kurta Set & Nehru Jacket,1484,"3.8
|
969","|
969",https://www.myntra.com/kurta-sets/sojanya/sojanya-men-grey--blue-self-design-kurta-with-churidar--nehru-jacket/6518468/buy,"Top fabric: Silk Blend
Bottom fabric: Silk Blend
Machine-wash"
31,SOJANYA,Men Kurta Set & Nehru Jacket,1484,"4
|
735","|
735",https://www.myntra.com/kurta-sets/sojanya/sojanya-men-maroon--beige-self-design-kurta-with-churidar--nehru-jacket/6518469/buy,"Top fabric: Silk Blend
Bottom fabric: Silk Blend
Machine-wash"
32,KISAH,Men Kurta with Churidar,4835,"3.9
|
58","|
58",https://www.myntra.com/kurta-sets/kisah/kisah-men-grey-regular-kurta-with-churidar/15583152/buy,"Top fabric: Silk Blend
Bottom fabric: Cotton Blend
Dry clean"
33,House of Pataudi,Hand Embroidered Kurta,2249,"4.6
|
160","|
160",https://www.myntra.com/kurtas/house-of-pataudi/house-of-pataudi-men-navy-blue--gold-toned-ethnic-motifs-authentic-hand-embroidered-kurta/13172534/buy,"100% cotton
Machine wash"
34,Anouk,Men Pure Cotton Printed Kurta,499,"4.3
|
156","|
156",https://www.myntra.com/kurtas/anouk/anouk-men-grey--white-floral-printed-pure-cotton-straight-kurta/17593278/buy,"100% Cotton
Hand wash"
35,Manyavar,Men Embroidered Kurta with Churidar,2999,"4.3
|
31","|
31",https://www.myntra.com/kurta-sets/manyavar/manyavar-men-green--black-ethnic-motifs-jacquard-embroidered-kurta-with-churidar/14913882/buy,"Art Silk
Dry Clean"
36,VASTRAMAY,Men Slim-Fit Sherwani Set,2919,"3.7
|
6","|
6",https://www.myntra.com/sherwani/vastramay/vastramay-men-black-slim-fit-textured-sherwani-set/20931896/buy,"Silk Blend
Dry Clean"
37,Jompers,Men Embroidered Straight Kurta,971,"4.2
|
563","|
563",https://www.myntra.com/kurtas/jompers/jompers-men-green--white-embroidered-straight-pure-cotton-kurta/17027012/buy,"100% Cotton
Wash with mid detergent."
38,MAG,Men Solid Kurta Set,1950,"4.1
|
533","|
533",https://www.myntra.com/kurta-sets/mag/mag-men-navy-blue--purple-solid-kurta-with-churidar--nehru-jacket/11048094/buy,"Top fabric: Dupion Silk
Bottom fabric: Dupion Silk
Dry-clean"
39,SOJANYA,Printed Straight Kurta,1247,"4.2
|
439","|
439",https://www.myntra.com/kurtas/sojanya/sojanya-men-maroon-printed-straight-kurta/10622762/buy,"80% Silk 20% Cotton
Machine-wash"
40,KISAH,Men Printed Pure Cotton Nehru Jacket,1784,"3.8
|
163","|
163",https://www.myntra.com/nehru-jackets/kisah/kisah-men-cream-coloured--red-printed-pure-cotton-nehru-jacket/11207796/buy,"Pure Cotton 
Dry-clean"
41,KISAH,Men Printed Sherwani Set,3633,"3.8
|
42","|
42",https://www.myntra.com/sherwani/kisah/kisah-men-blue--white-printed-sherwani-set/17479686/buy,"Cotton blend
Dry-clean"
42,KISAH,Men Printed Sherwani Set,5001,"3.8
|
111","|
111",https://www.myntra.com/sherwani/kisah/kisah-men-blue-cotton-printed-sherwani-set-/13066918/buy,"Cotton Blend
Dry Clean"
43,Anouk,Men Woven Design Kurta with Churidar,1399,"4.1
|
689","|
689",https://www.myntra.com/kurta-sets/anouk/anouk-men-black--charcoal-grey-woven-design-kurta-with-churidar/10354097/buy,"Top fabric: 87% viscose, 13% polyester
Bottom fabric: 52% viscose, 48% polyester
Machine-wash"
44,Anouk,Men Pure Cotton Kurta Set,1709,"4.1
|
369","|
369",https://www.myntra.com/kurta-sets/anouk/anouk-men-blue--white-self-design-pure-cotton-kurta-with-patiala/14121868/buy,"Top fabric: Pure Cotton
Bottom fabric: Pure Cotton
Machine wash"
45,KISAH,Men Kurta with Churidar,3525,"4.1
|
163","|
163",https://www.myntra.com/kurta-sets/kisah/kisah-men-green--cream-solid-banarasi-kurta-with-churidar--nehru-jacket/6611904/buy,"Banarasi cotton silk
Dry-clean"
46,VASTRAMAY,Men Bandhgala Blazer,1999,"3.2
|
42","|
42",https://www.myntra.com/blazers/vastramay/vastramay-men-mint-green-silk-blend-jodhpuri-slim-fit-bandhgala-blazer/19451006/buy,"Silk Blend
Dry Clean preferably or cold light wash"
47,KISAH,Men Solid Sherwani Set,4635,"4
|
141","|
141",https://www.myntra.com/sherwani/kisah/kisah-men-maroon--beige-solid-sherwani-set/13066946/buy,"Cotton
Dry Clean"
48,Blackberrys,Men Slim Fit Suit,9897,,,https://www.myntra.com/suits/blackberrys/blackberrys-men-blue--white-slim-fit-self-design-suit/20481794/buy,"41% Nylon, 28% Polyester, 28% Viscose Rayon & 3% Elastane
Dry Clean"
49,SHRESTHA BY VASTRAMAY,Men Solid Slim-Fit Single Breasted Bandhgala Velvet Blazer,3499,,,https://www.myntra.com/blazers/shrestha-by-vastramay/shrestha-by-vastramay-men-maroon-solid-slim-fit-single-breasted-bandhgala-velvet-blazer/19995958/buy,"Velvet
Dry Clean"
50,SHRESTHA BY VASTRAMAY,Men Solid Slim-Fit Single Breasted Bandhgala Velvet Blazer,3499,,,https://www.myntra.com/blazers/shrestha-by-vastramay/shrestha-by-vastramay-men-maroon-solid-slim-fit-single-breasted-bandhgala-velvet-blazer/19995958/buy,"Velvet
Dry Clean"
51,SHRESTHA BY VASTRAMAY,Men Kurta Set & Nehru Jacket,3898,"4.7
|
10","|
10",https://www.myntra.com/kurta-sets/shrestha-by-vastramay/shrestha-by-vastramay-men-angrakha-solid-kurta-with-churidar--mirror-work-nehru-jacket/19983208/buy,"Viscose Rayon
Dry Clean"
52,Anouk,Men Striped Kurta,699,"4.3
|
164","|
164",https://www.myntra.com/kurtas/anouk/anouk-men-black-striped-straight-kurta/17593266/buy,"100% Polyester
Machine wash"
53,amzira,Men Kurta With Trousers,2999,"4.1
|
39","|
39",https://www.myntra.com/kurta-sets/amzira/amzira-men-navy-blue-ethnic-motifs-embroidered-sequinned-kurta-with-trousers/18165522/buy,"Cotton
Dry Clean"
54,Anouk,Men Cotton Kurta with Trousers,1359,"4.5
|
22","|
22",https://www.myntra.com/kurta-sets/anouk/anouk-men-brown-pure-cotton-checked-kurta-with-solid-trousers/19430796/buy,"Top fabric: Pure Cotton
Bottom fabric: 100% Polyester
Machine wash"
55,DEYANN,Men Solid Kurta with Churidar,1677,"4
|
602","|
602",https://www.myntra.com/kurta-sets/deyann/deyann-men-black--silver-solid-kurta-with-churidar--nehru-jacket/9108493/buy,"Top fabric: Dupion Silk
Bottom fabric: Dupion Silk
Dry-clean"
56,SHRESTHA BY VASTRAMAY,Men Mirror Work 3-Pcs Sherwani Set,5949,"4.9
|
7","|
7",https://www.myntra.com/sherwani/shrestha-by-vastramay/shrestha-by-vastramay-men-pink--cream-coloured-mirror-work-3-pcs-sherwani-set/20929962/buy,"Viscose , Cotton
Dry Clean"
57,VASTRAMAY,Men Self-Design Single-Breasted Blazers,2399,"3.5
|
43","|
43",https://www.myntra.com/blazers/vastramay/vastramay-men-maroon-self-design-single-breasted-blazers/19453630/buy,"Cotton blend
Dry Clean"
