,brand,product,price,rating,rating_counts,link,material_info
0,SHRESTHA BY VASTRAMAY,Men Self-Design Sherwani Set,4816,"4.1
|
44","|
44",https://www.myntra.com/sherwani/shrestha-by-vastramay/shrestha-by-vastramay-men-navy-blue--black-self-design-silk-blend-sherwani-set/19983300/buy,"Silk blend
Dry Clean"
1,SHRESTHA BY VASTRAMAY,Men Mirror Work Sherwani Set,5949,"4.3
|
7","|
7",https://www.myntra.com/sherwani/shrestha-by-vastramay/shrestha-by-vastramay-men-purple-mirror-work-sherwani-set/19996148/buy,"Cotton
Dry Clean"
2,Wintage,Single-Breasted Blazer,3024,"3.8
|
58","|
58",https://www.myntra.com/blazers/wintage/wintage-mens-green-solid-single-breasted-velvet-blazer/7514184/buy,"Velvet
Dry clean"
3,KISAH,Men Printed Pure Cotton Nehru Jacket,1784,"3.8
|
163","|
163",https://www.myntra.com/nehru-jackets/kisah/kisah-men-cream-coloured--red-printed-pure-cotton-nehru-jacket/11207796/buy,"Pure Cotton 
Dry-clean"
4,KISAH,Men Printed Sherwani Set,3633,"3.8
|
42","|
42",https://www.myntra.com/sherwani/kisah/kisah-men-blue--white-printed-sherwani-set/17479686/buy,"Cotton blend
Dry-clean"
5,KISAH,Men Printed Sherwani Set,5001,"3.8
|
111","|
111",https://www.myntra.com/sherwani/kisah/kisah-men-blue-cotton-printed-sherwani-set-/13066918/buy,"Cotton Blend
Dry Clean"
6,VASTRAMAY,Men Bandhgala Blazer,1999,"3.2
|
42","|
42",https://www.myntra.com/blazers/vastramay/vastramay-men-mint-green-silk-blend-jodhpuri-slim-fit-bandhgala-blazer/19451006/buy,"Silk Blend
Dry Clean preferably or cold light wash"
7,KISAH,Men Solid Sherwani Set,4635,"4
|
141","|
141",https://www.myntra.com/sherwani/kisah/kisah-men-maroon--beige-solid-sherwani-set/13066946/buy,"Cotton
Dry Clean"
8,SHRESTHA BY VASTRAMAY,Men Solid Slim-Fit Single Breasted Bandhgala Velvet Blazer,3499,,,https://www.myntra.com/blazers/shrestha-by-vastramay/shrestha-by-vastramay-men-maroon-solid-slim-fit-single-breasted-bandhgala-velvet-blazer/19995958/buy,"Velvet
Dry Clean"
9,SHRESTHA BY VASTRAMAY,Men Mirror Work 3-Pcs Sherwani Set,5949,"4.9
|
7","|
7",https://www.myntra.com/sherwani/shrestha-by-vastramay/shrestha-by-vastramay-men-pink--cream-coloured-mirror-work-3-pcs-sherwani-set/20929962/buy,"Viscose , Cotton
Dry Clean"
10,VASTRAMAY,Men Self-Design Single-Breasted Blazers,2399,"3.5
|
43","|
43",https://www.myntra.com/blazers/vastramay/vastramay-men-maroon-self-design-single-breasted-blazers/19453630/buy,"Cotton blend
Dry Clean"
11,Wintage,Men Solid Bandhgala Blazer,3670,"3.7
|
20","|
20",https://www.myntra.com/blazers/wintage/wintage-men-green-solid-bandhgala-blazer/15212534/buy,"Wool Fabric
Lining: Satin
Dry-clean"
12,KISAH,Men Printed Cotton Sherwani Set,4135,"4
|
21","|
21",https://www.myntra.com/sherwani/kisah/kisah-men-navy-blue--grey-printed-cotton-sherwani-set/17479696/buy,"Cotton
Dry Clean"
13,Hangup,Men Solid Bandhgala Blazer,1799,"3
|
91","|
91",https://www.myntra.com/blazers/hangup/hangup-men-black-solid-bandhgala-blazer/13828006/buy,"Shell Material: 40% Polyester, 60% Viscose Rayon
Lining Material: Polycotton
Dry-clean only"
14,KISAH,Men Printed Sherwani Set,6062,"3.5
|
12","|
12",https://www.myntra.com/sherwani/kisah/kisah-men-cream-coloured--silver-toned-printed-sherwani-set/17332234/buy,"Cotton
Dry Clean"
15,SHRESTHA BY VASTRAMAY,Men Self-Design Indo Western Sherwani Set,6998,,,https://www.myntra.com/sherwani/shrestha-by-vastramay/shrestha-by-vastramay-men-black-self-design-indo-western-sherwani-set/20929952/buy,"Silk Blend
Dry Clean"
16,Hangup,Men Printed Nehru Jacket,1119,"4.1
|
326","|
326",https://www.myntra.com/nehru-jackets/hangup/hangup-men-beige--blue-printed-nehru-jacket/14093456/buy,"60% Viscose, 40 % Polyester
Dry-clean"
17,House of Pataudi,Men Cotton Jashn Blazer,3849,"4.4
|
8","|
8",https://www.myntra.com/blazers/house-of-pataudi/house-of-pataudi-men-pink-single-breasted-pure-cotton-jashn-blazer/17034772/buy,"100% cotton
Machine wash"
18,KISAH,Men Woven Design Sherwani Set,5761,"3.7
|
61","|
61",https://www.myntra.com/sherwani/kisah/kisah-men-beige--orange-woven-design-sherwani-set/15879344/buy,"Cotton
Dry Clean"
19,SHRESTHA BY VASTRAMAY,Men Embellished Nehru Jacket,1959,"4.2
|
19","|
19",https://www.myntra.com/nehru-jackets/shrestha-by-vastramay/shrestha-by-vastramay-men-cream-coloured-embellished-nehru-jacket/19984180/buy,"Viscose
Dry Clean preferably or cold light wash"
20,KISAH,Men Solid Cotton Sherwani Set,5159,"3.9
|
11","|
11",https://www.myntra.com/sherwani/kisah/kisah-men-mustard-yellow-solid-cotton-sherwani-set/19689514/buy,"Cotton
Dry Clean"
21,House of Pataudi,Men Bandhgala Jashn Blazer,3199,"4.2
|
6","|
6",https://www.myntra.com/blazers/house-of-pataudi/house-of-pataudi-men-yellow--white-printed-bandhgala-jashn-blazer/17478206/buy,"100% Cotton
Dry Clean"
22,SHRESTHA BY VASTRAMAY,Men Self-Design Slim-Fit Bandhgala Ethnic Blazers,2559,,,https://www.myntra.com/blazers/shrestha-by-vastramay/shrestha-by-vastramay-men-self-design-slim-fit-bandhgala-ethnic-blazers/21127274/buy,"Polyviscose
Dry Clean"
23,hangup trend,Men Solid Sherwani Set,3299,"2.9
|
7","|
7",https://www.myntra.com/sherwani/hangup-trend/hangup-trend-men-white-solid-sherwani-set/19916042/buy,"Polyester
Dry Clean"
24,KISAH,Men Solid Cotton Sherwani Set,4863,"3.6
|
38","|
38",https://www.myntra.com/sherwani/kisah/kisah-men-green--white-solid-cotton-sherwani-set/16508820/buy,"Cotton
Dry Clean"
25,Wintage,Men Solid Nehru Jacket,1999,"4.5
|
84","|
84",https://www.myntra.com/nehru-jackets/wintage/wintage-men-charcoal-solid-nehru-jacket/9896257/buy,"Shell: Tweed Wool
Lining: Satin
Dry-clean"
26,Manyavar,Art Silk Printed Nehru Jacket,2999,"3.9
|
93","|
93",https://www.myntra.com/nehru-jackets/manyavar/manyavar-men-navy-blue-art-silk-printed-nehru-jacket/16219808/buy,"Art Silk
Dry Clean"
27,KISAH,Men Woven Design Sherwani Set,4499,"3.9
|
87","|
87",https://www.myntra.com/sherwani/kisah/kisah-men-purple--white-jacquard-woven-design-sherwani-set/10744112/buy,"Silk Blend Jacquard
Dry-Clean"
28,KISAH,Woven Design Sherwani Set,5119,,,https://www.myntra.com/sherwani/kisah/kisah-men-maroon--black-woven-design-cotton-sherwani-set/20050836/buy,"Cotton
Dry Clean"
29,KISAH,Handloom Sherwani With Stole,3899,"3.3
|
73","|
73",https://www.myntra.com/sherwani/kisah/kisah-men-navy-blue--cream-coloured-handloom-woven-design-sherwani/11198156/buy,"Cotton blend

Dry Clean"
30,KISAH,Printed Cotton Sherwani Set,3633,"3.1
|
7","|
7",https://www.myntra.com/sherwani/kisah/kisah-men-maroon-printed-cotton-sherwani-set/17479702/buy,"Cotton
Dry Clean"
31,KISAH,Men Solid Cotton Sherwani,6391,"3.4
|
10","|
10",https://www.myntra.com/sherwani/kisah/kisah-men-black-solid-cotton-sherwani/19689506/buy,"Cotton
Dry Clean"
32,SHRESTHA BY VASTRAMAY,Men Mirror Work Front Open Sherwani Set,5808,,,https://www.myntra.com/sherwani/shrestha-by-vastramay/shrestha-by-vastramay-men-cream-mirror-work-front-open-sherwani-set/20929958/buy,"Silk Blend
Dry Clean"
33,SHRESTHA BY VASTRAMAY,Men Printed Slim-Fit Bandhgala Blazers,3499,,,https://www.myntra.com/blazers/shrestha-by-vastramay/shrestha-by-vastramay-men-black-printed-slim-fit-bandhgala-blazers/19995956/buy,"Cotton Blend
Dry Clean"
34,Anouk,Men Pure Cotton Ethnic Jacket,799,"4.3
|
13","|
13",https://www.myntra.com/nehru-jackets/anouk/anouk-men-red-printed-ethnic-pure-cotton-nehru-jacket/19875934/buy,"Shell: 100% Cotton, Lining: 100% Polyester
Dry Clean"
35,SOJANYA,Men Embroidered Nehru Jacket,1356,"4.2
|
301","|
301",https://www.myntra.com/nehru-jackets/sojanya/sojanya-men-beige--golden-embroidered-nehru-jacket/11562654/buy,"80% silk, 20% cotton
Dry-clean"
36,Wintage,Men Bandhgala Ethnic Blazer,3291,"4.2
|
38","|
38",https://www.myntra.com/blazers/wintage/wintage-men-purple--black-self-design-bandhgala-ethnic-blazer/15212586/buy,"Fabric: Velvet
Lining: Satin
Dry clean"
37,DEYANN,Men Woven Design Nehru Jacket,1497,"4
|
321","|
321",https://www.myntra.com/nehru-jackets/deyann/deyann-men-turquoise-blue--silver-colored-woven-design-nehru-jacket/11817202/buy,"Nehru Jacket: Jacquard Silk
Pocket Square: Dupion Silk
Dry Clean Only"
38,VASTRAMAY,Men Solid Sherwani,3199,"3.5
|
8","|
8",https://www.myntra.com/sherwani/vastramay/vastramay-men-black--coffee-brown--solid-sherwani-set/20805162/buy,"Silk Blend
Dry Clean"
39,Hangup,Men Printed Nehru Jacket,1119,"4.2
|
812","|
812",https://www.myntra.com/nehru-jackets/hangup/hangup-men-multicoloured-printed-nehru-jacket-with-pocket-square/6610000/buy,"60% viscose rayon, 40% polyester
Dry-clean"
40,SOJANYA,Men Embroidered Nehru Jacket,1356,"4.2
|
342","|
342",https://www.myntra.com/nehru-jackets/sojanya/sojanya-men-cream-coloured--golden-embroidered-nehru-jacket/11562644/buy,"80% silk, 20% cotton
Dry-clean"
41,Hangup,Men Sherwani with Dhoti Pants,3299,"3.6
|
414","|
414",https://www.myntra.com/sherwani/hangup/hangup-men-brown--maroon-sherwani-with-dhoti-pants/10635142/buy,"40% polyester and 60% viscose rayon
Dry clean only"
42,KISAH,Men Woven Design Sherwani Set,5499,,,https://www.myntra.com/sherwani/kisah/kisah-men-cream-colored-woven-design-silk-blend-sherwani-set/20050832/buy,"Silk Blend
Dry Clean"
43,VASTRAMAY,Men Solid Sherwani Set,3199,"3
|
7","|
7",https://www.myntra.com/sherwani/vastramay/vastramay-men-black-solid-sherwani-set/19896302/buy,"Silk Blend
Dry Clean"
44,KISAH,Men Printed Nehru Jacket,1799,"3.7
|
78","|
78",https://www.myntra.com/nehru-jackets/kisah/kisah-men-white--green-printed-nehru-jacket/10771724/buy,"Cotton blend
Dry-Clean"
45,TAHVO,Men Solid Cotton Sherwani,3799,,,https://www.myntra.com/sherwani/tahvo/tahvo-men-black-solid-cotton-sherwani/21015472/buy,"Cotton
Dry Clean"
46,Wintage,Men Printed Woven Nehru Jacket,1580,"4.1
|
42","|
42",https://www.myntra.com/nehru-jackets/wintage/wintage-men-black-printed-woven-nehru-jacket/15212570/buy,"Linen
Lining: Satin
Dry-clean"
47,VASTRAMAY,Men Textured Sherwani Set,2919,,,https://www.myntra.com/sherwani/vastramay/vastramay-men-blue--black-textured-sherwani-set/20931898/buy,"Silk blend
Dry Clean"
48,KISAH,Men Woven Design Sherwani Set,3609,"3.8
|
12","|
12",https://www.myntra.com/sherwani/kisah/kisah-men-purple--white-woven-design-sherwani-set/16508818/buy,"Cotton
Dry Clean"
49,Hangup,Men Nehru Jacket,1119,"3.6
|
446","|
446",https://www.myntra.com/nehru-jackets/hangup/hangup-men-blue-solid-nehru-jacket/8087093/buy,"Linen
Dry clean"
50,Hangup,Men Nehru Jacket,1119,"3.6
|
446","|
446",https://www.myntra.com/nehru-jackets/hangup/hangup-men-blue-solid-nehru-jacket/8087093/buy,"Linen
Dry clean"
