,brand,product,price,rating,rating_counts,link,material_info
0,U.S. Polo Assn.,Men Solid Puffer Jacket,4549,"3.7
|
63","|
63",https://www.myntra.com/jackets/us-polo-assn/us-polo-assn-men-olive-green-solid-puffer-jacket/19020422/buy,"Shell: 100% Nylon
 Lining: 100% Polyester
Dry Clean Only"
1,H&M,Men Black Relaxed Fit Hoodie,1499,"4.3
|
2.2k","|
2.2k",https://www.myntra.com/sweatshirts/hm/hm-men-black-relaxed-fit-hoodie/15193748/buy,"60% Cotton, 40% Polyester
Machine wash"
2,H&M,Relaxed Fit Sweatshirt,799,"4.3
|
4.7k","|
4.7k",https://www.myntra.com/sweatshirts/hm/hm-men-black-relaxed-fit-sweatshirt/15746190/buy,"60% Cotton, 40% Polyester
Machine Wash"
3,Roadster,Men Solid Bomber,1124,"3.5
|
3.3k","|
3.3k",https://www.myntra.com/jackets/roadster/roadster-men-red-solid-bomber/4929150/buy,"Polyester
Machine-wash"
4,Roadster,Men Solid Bomber Jacket,1839,"3.9
|
2.8k","|
2.8k",https://www.myntra.com/jackets/roadster/roadster-men-olive-green-solid-bomber-jacket/5453186/buy,"100% cotton
Machine-wash"
5,H&M,Relaxed Fit Hoodie,1499,"3.9
|
47","|
47",https://www.myntra.com/sweatshirts/hm/hm-men-relaxed-fit-hoodie/21460790/buy,"60% Cotton & 40% Polyester
Machine Wash"
6,U.S. Polo Assn.,Striped Puffer Jacket,4339,"4.4
|
85","|
85",https://www.myntra.com/jackets/us-polo-assn/u-s-polo-assn-men-striped-puffer-jacket/19020500/buy,"Shell: 100% Polyester
Lining: 100% Polyester
Machine Wash"
7,LOCOMOTIVE,Solid Puffer Jacket,809,"4
|
1.9k","|
1.9k",https://www.myntra.com/jackets/locomotive/locomotive-men-white-solid-puffer-jacket/12970028/buy,"Material: Polyester
Machine Wash"
8,U.S. Polo Assn.,Solid Padded Jacket,4549,"4.3
|
619","|
619",https://www.myntra.com/jackets/us-polo-assn/us-polo-assn-men-black-solid-padded-jacket/12635866/buy,"Shell: 100% polyester
Lining: 100% polyester
Machine Wash"
9,U.S. Polo Assn.,Men Solid Puffer Jacket,3899,"4
|
94","|
94",https://www.myntra.com/jackets/us-polo-assn/us-polo-assn-men-rust-solid-brand-logo-puffer-jacket/19020632/buy,"Body: 100% Polyester 
Lining: 100% Polyester 
Dry Clean"
10,Campus Sutra,Suede Windcheater Outdoor Bomber Jacket,1819,"3.2
|
1.4k","|
1.4k",https://www.myntra.com/jackets/campus-sutra/campus-sutra-men-brown-suede-windcheater-outdoor-bomber-jacket/14811684/buy,"Outer shell: Suede
Lining fabric: Polycotton
Machine wash"
11,U.S. Polo Assn.,Men Puffer Jacket,4409,"4.4
|
88","|
88",https://www.myntra.com/jackets/us-polo-assn/us-polo-assn-men-red--navy-blue-colourblocked-puffer-jacket/19020502/buy,"Body: 100% Polyester
Lining: 100% Polyester
Dry clean"
12,U.S. Polo Assn.,Men Solid Puffer Jacket,3899,"4.4
|
70","|
70",https://www.myntra.com/jackets/us-polo-assn/us-polo-assn-men-khaki-solid-brand-logo-puffer-jacket/19020752/buy,"Body: 100% Polyester 
Lining: 100% Polyester 
Dry Clean"
13,U.S. Polo Assn.,Solid A20 Puffer Jacket,2699,"4.4
|
330","|
330",https://www.myntra.com/jackets/us-polo-assn/us-polo-assn-men-black-solid-a20-sleeveless-puffer-jacket/12635762/buy,"Material:- Shell:100% Polyester, Lining: 100% Polyester 
Machine Wash"
