,brand,product,price,rating,rating_counts,link,material_info
0,ADIDAS,Men Solid Track Pants,1199,"4.1
|
305","|
305",https://www.myntra.com/track-pants/adidas/adidas-men-black-solid-track-pants/18153272/buy,"57% Polyester, 43% Polyester,
Machine wash"
1,HRX by Hrithik Roshan,Men Training Rapid Dry Joggers,1439,"4.1
|
3.9k","|
3.9k",https://www.myntra.com/track-pants/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-teal-blue-slim-solid-training-rapid-dry-antimicrobial-joggers/11012148/buy,"96% Polyester 4%Lycra
Woven
Machine wash"
2,H&M,Men Regular Fit Joggers,1299,"4.4
|
2.1k","|
2.1k",https://www.myntra.com/track-pants/hm/hm-men-black-regular-fit-joggers/15193456/buy,"60% Cotton, 40% Polyester
Machine wash"
3,Puma,Men Regular Fit Track Pants,1499,"4.1
|
168","|
168",https://www.myntra.com/track-pants/puma/puma-men-black-solid-mid-rise-zippered-knitted-regular-track-pants/18981520/buy,"Shell: 100% Cotton
Machine wash"
4,HRX by Hrithik Roshan,Men Solid Joggers,599,"4.1
|
14.4k","|
14.4k",https://www.myntra.com/track-pants/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-black-solid-joggers/2314359/buy,"100% polyester
Machine-wash cold"
5,HRX by Hrithik Roshan,Men Solid Joggers,539,"4
|
810","|
810",https://www.myntra.com/track-pants/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-black-solid-joggers/18204202/buy,"52% Cotton, 42% Polyester
Machine wash"
6,HRX by Hrithik Roshan,Men Bio-Wash Joggers,539,"4.1
|
698","|
698",https://www.myntra.com/track-pants/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-navy-blue-solid-bio-wash-joggers/18204214/buy,"58% Cotton, 42% Polyester 
Machine wash"
7,HRX by Hrithik Roshan,Men Active Essential,844,"4.1
|
3.4k","|
3.4k",https://www.myntra.com/track-pants/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-black-active-essential-track-pants/6833358/buy,"Knit Track Pants
Fabric: 100% polyester
Machine-wash"
8,Nike,Men Solid Joggers,4396,"4.3
|
160","|
160",https://www.myntra.com/track-pants/nike/nike-men-black-solid-joggers/13010320/buy,
9,HRX by Hrithik Roshan,Rapid-Dry Running Track Pants,719,"4.1
|
2.5k","|
2.5k",https://www.myntra.com/track-pants/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-black-solid-slim-fit-rapid-dry-running-track-pants/8328417/buy,"Woven Track Pants
Fabric: 93% Polyester and 7% elastane
Machine Wash"
10,HRX by Hrithik Roshan,Men Solid Joggers,539,"4.1
|
399","|
399",https://www.myntra.com/track-pants/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-grey-melange-solid-joggers/18204228/buy,"65% Cotton, 35% Polyester
Machine wash"
11,HRX by Hrithik Roshan,Men Solid Joggers,989,"3.6
|
6.3k","|
6.3k",https://www.myntra.com/track-pants/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-grey-solid-joggers/8423025/buy,"Polyester
Machine-wash"
12,Nike,Men Solid Fleece Joggers,3325,"4.3
|
36","|
36",https://www.myntra.com/track-pants/nike/nike-jordan-essential-mens-black-solid-fleece-joggers-pants-with-drawstring-closure/20457774/buy,"80% Cotton 20% Polyester
Machine Wash"
13,HRX by Hrithik Roshan,Men Solid Joggers,539,"4.2
|
530","|
530",https://www.myntra.com/track-pants/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-charcoal-black-solid-joggers/18204212/buy,"60% Cotton, 40% Polyester
Machine wash"
14,Nike,Men NK DRY RUN Track Pant,1816,"3.9
|
508","|
508",https://www.myntra.com/track-pants/nike/nike-men-black-solid-regular-fit-as-m-nk-dri-fit-running-track-pant/10139225/buy,"100% polyester
Machine-wash"
15,Nike,Men Printed Running Pants,2970,"3.7
|
305","|
305",https://www.myntra.com/track-pants/nike/nike-men-black-brand-logo-printed-dri-fit-challenger-running-pants/16331428/buy,"100% POLYESTER
MAchine wash"
16,Nike,Men Solid Training Pants,1746,"4.2
|
85","|
85",https://www.myntra.com/track-pants/nike/nike-men-solid-dri-fit-epic-mens-knit-training-pants/19730642/buy,"100% Polyester
Machine wash"
17,one8 x PUMA,Men VK III Jogger Pants,1374,"4.3
|
287","|
287",https://www.myntra.com/track-pants/one8-x-puma/-one8-x-puma-men-black--white-striped-vk-iii-jogger-pants/13887256/buy,"88% cotton, 12% polyester
Machine wash"
18,Nike,Men Solid Woven Running Pants,2970,"3.9
|
415","|
415",https://www.myntra.com/track-pants/nike/nike-men-black-solid--dri-fit-challenger-woven-running-pants/14643392/buy,"100% POLYESTER
Machine wash"
19,Nike,Men Solid Track Pants,3325,,,https://www.myntra.com/track-pants/nike/nike-men-black-solid-jordan-essentials-track-pants/20457758/buy,"94% nylon, 6% spandex
Machine wash"
20,ADIDAS,Men M 3S WV E PT Joggers,1959,"4
|
160","|
160",https://www.myntra.com/track-pants/adidas/adidas-men-navy-blue-m-3s-wv-e-pt-solid-sustainable-joggers/16572520/buy,"57% Recycled polyester, 43% Polyester
Machine Wash"
21,HRX by Hrithik Roshan,Men Rapid Dry Running Joggers,1259,"4
|
1.2k","|
1.2k",https://www.myntra.com/track-pants/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-olive-green-rapid-dry-running-joggers/7610364/buy,"Knit Track Pants
Fabric: 100% polyester
Machine-wash"
22,HIGHLANDER,Men Solid Slim-Fit Track Pants,512,"4.1
|
2.6k","|
2.6k",https://www.myntra.com/track-pants/highlander/highlander-men-olive-green-solid-slim-fit-track-pants/13899948/buy,"60% Cotton, 40% Polyester
Machine wash"
23,HIGHLANDER,Men Slim-Fit Track Pants,489,"4
|
11.4k","|
11.4k",https://www.myntra.com/track-pants/highlander/highlander-men-black-solid-slim-fit-track-pants/9838377/buy,"52% Cotton, 48% Polyester
Machine-wash"
24,ADIDAS,Brand Logo Print Track Pants,2239,"4.3
|
49","|
49",https://www.myntra.com/track-pants/adidas/adidas-black--white-brand-logo-print-track-pants/19187072/buy,"70% Cotton, 30% Polyester
Machine wash as per tag"
25,Puma,Men Zippered Jersey Sweatpants,1159,"3.9
|
366","|
366",https://www.myntra.com/track-pants/puma/puma-men-charcoal-grey-zippered-knitted-jersey-sweat-pants/14861530/buy,"100% Cotton
Machine-wash"
26,Nike,Men Solid Woven Utility Pants,3325,"3.5
|
71","|
71",https://www.myntra.com/track-pants/nike/nike-men-black-solid-woven-straight-fit-as-m-nsw-spe-unlined-utility-pants/14643402/buy,"62% COTTON and 38% NYLON
Machine wash"
27,Nike,Men Printed Track Pants,2120,"4.2
|
289","|
289",https://www.myntra.com/track-pants/nike/nike-men-black-brand-logo-printed--standard-fit-mid-rise-as-m-nk-df-epic-knit-track-pants/17368880/buy,"100% POLYESTER
Machine wash"
28,Roadster,Men Solid Slim-Fit Pure Cotton Joggers,949,"3.9
|
130","|
130",https://www.myntra.com/track-pants/roadster/roadster-men-green-solid-slim-fit-pure-cotton-joggers/19733942/buy,"100% Cotton
Machine-wash"
29,HRX by Hrithik Roshan,Men Active Joggers,899,"4.1
|
7.1k","|
7.1k",https://www.myntra.com/track-pants/hrx-by-hrithik-roshan/hrx-active-by-hrithik-roshan-men-black-active-joggers/1820261/buy,"100% cotton
Machine-wash"
30,Nike,Men Paris Saint-Germain,3415,"4.8
|
5","|
5",https://www.myntra.com/track-pants/nike/nike-men-grey-paris-saint-germain-joggers/20457792/buy,"80% Cotton 20% Polyester
Machine Wash"
31,Nike,Men Woven Utility Track Pants,4765,,,https://www.myntra.com/track-pants/nike/nike-men-black-solid-sportswear-unlined-woven-utility-track-pants/20073194/buy,"68% Cotton 28% Nylon 4% Spandex
Machine Wash"
32,Nike,Men NSW CLUB Solid Joggers,1497,"4
|
260","|
260",https://www.myntra.com/track-pants/nike/nike-men-black-french-terry-nsw-club-solid-joggers/10702592/buy,"100% cotton
Machine Wash"
33,Nike,Men Pure Cotton Joggers,3820,"4.1
|
39","|
39",https://www.myntra.com/track-pants/nike/nike-men-solid-air-french-terry-pure-cotton-joggers/20073372/buy,"100% Cotton
Machine-wash"
34,Puma,Men dryCELL ACTIVE Track Pants,1949,"3.9
|
390","|
390",https://www.myntra.com/track-pants/puma/puma-men-black-solid-drycell-active-tricot-track-pants/13501940/buy,"100% polyester
Machine wash"
35,Hubberholme,Men Slim Fit Cargo Joggers,794,"4.1
|
1.3k","|
1.3k",https://www.myntra.com/track-pants/hubberholme/hubberholme-men-black-slim-fit-solid-cargo-joggers/13961906/buy,"52% Cotton and 48% Polyester
Machine-wash"
36,Nike,Men Black Casual Track Pants,2375,"4.1
|
131","|
131",https://www.myntra.com/track-pants/nike/nike-men-black-brand-logo-print-mid-rise-dry-fit-casual-track-pants/17595478/buy,"100% POLYESTER
Machine wash"
37,Harvard,Tapered Style Track Pants,599,"4.1
|
2.6k","|
2.6k",https://www.myntra.com/track-pants/harvard/harvard-men-grey-melange-solid-tapered-style-track-pants/12671144/buy,"60% cotton, 40% polyester
Machine-wash"
38,HIGHLANDER,Men Slim-Fit Track Pants,289,"3.9
|
3k","|
3k",https://www.myntra.com/track-pants/highlander/highlander-men-black-solid-slim-fit-track-pants/9838379/buy,"52% Cotton, 48% Polyester
Machine-wash"
39,Puma,Men Black Drycell Sustainable Joggers,2699,"4.1
|
156","|
156",https://www.myntra.com/track-pants/puma/puma-men-black-solid-drycell-regular-fit-mid-rise-woventraining--sustainable-joggers-with-side-stripe/16704226/buy,"100% Polyester
machine wash"
40,Nike,Men Straight CUFFED Joggers,2335,"4.1
|
336","|
336",https://www.myntra.com/track-pants/nike/nike-men-black-solid-straight-fit-cuffed-joggers/13935492/buy,"100% cotton
Machine wash"
41,Nike,Men Embroidered Track Pants,2245,"3.1
|
13","|
13",https://www.myntra.com/track-pants/nike/nike-men-brand-logo-embroidered-dri-fit-academy-soccer-track-pants/20073278/buy,"100% Polyester
Machine-wash"
42,Roadster,Slim-Fit Pure Cotton Joggers,949,"4
|
63","|
63",https://www.myntra.com/track-pants/roadster/roadster-men-green-solid-slim-fit-pure-cotton-joggers/19733944/buy,"100% Cotton
Machine-wash"
43,Nike,Men Dri-FIT Track Pants,3145,"3.9
|
143","|
143",https://www.myntra.com/track-pants/nike/nike-men-grey-dri-fit-challenger-knit-running-track-pants/14805302/buy,"100% Polyester
Machine-wash"
44,Nike,Men Running Track Pants,2970,"4
|
350","|
350",https://www.myntra.com/track-pants/nike/nike-men-grey-tapered-fit-dri-fit-challenger-woven-sustainable-running-track-pants/14643404/buy,"100% Polyester
Machine Wash"
45,HIGHLANDER,Men Solid Slim-Fit Track Pants,458,"4.1
|
4.2k","|
4.2k",https://www.myntra.com/track-pants/highlander/highlander-men-olive-green-solid-slim-fit-track-pants/13861868/buy,"60% Cotton and 40% polyester
Machine-wash"
46,Nike,Men Therma-FIT Swoosh Joggers,3235,,,https://www.myntra.com/track-pants/nike/nike-therma-fit-mens-black-tapered-swoosh-graphic-typography-print-fitness-joggers-pants/20073388/buy,"100% Polyester
Machine Wash"
47,ADIDAS,Men Printed Joggers,1349,"4.3
|
114","|
114",https://www.myntra.com/track-pants/adidas/adidas-men-grey-melange--black-brand-logo-printed-sustainable-joggers/16740714/buy,"Cotton
Machine Wash"
48,ADIDAS,Men Tapered Fit Joggers,2699,"4.5
|
10","|
10",https://www.myntra.com/track-pants/adidas/adidas-men-navy-blue--black-essential-tapered-fit-joggers/18520568/buy,"70% cotton, 30% polyester
Machine wash"
49,Puma,Solid Regular Fit Track Pants,1374,"4.2
|
139","|
139",https://www.myntra.com/track-pants/puma/puma-men-navy-blue-solid-regular-fit-track-pants-with-drycell-technology/15594846/buy,"100% Recycle polyester
Machine Wash
Close All Fastenings
Use Only Mild Detergent
Wash with similar color"
50,Puma,Solid Regular Fit Track Pants,1374,"4.2
|
139","|
139",https://www.myntra.com/track-pants/puma/puma-men-navy-blue-solid-regular-fit-track-pants-with-drycell-technology/15594846/buy,"100% Recycle polyester
Machine Wash
Close All Fastenings
Use Only Mild Detergent
Wash with similar color"
51,H&M,Men Skinny Fit Cargo Joggers,2699,"4.4
|
11","|
11",https://www.myntra.com/track-pants/hm/hm-men-skinny-fit-cargo-joggers/21161148/buy,"98% Cotton, 2% Elastane
Machine Wash"
52,HRX by Hrithik Roshan,Men Active Skater Sports,1189,"4.1
|
4k","|
4k",https://www.myntra.com/track-pants/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-black-solid-active-skater-sports-joggers/2349357/buy,"100% cotton
Machine-wash"
53,Invictus Indoor,Men Solid Track Pants,599,"4.4
|
62","|
62",https://www.myntra.com/track-pants/invictus-indoor/invictus-indoor-men-black-solid-regular-fit-mid-rise-track-pants/16234358/buy,"60% Cotton 40% Polyester
Machine-wash"
54,HRX by Hrithik Roshan,Slim Fit Training Track Pant,934,"4.1
|
738","|
738",https://www.myntra.com/track-pants/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-grey-solid-training-anti-microbial-slim-fit-track-pants/10106139/buy,"Knit Track Pants
Fabric: 60% cotton, 40% polyester
Machine Wash"
55,Red Tape,Men Solid Mid-Rise Joggers,1049,"4.3
|
229","|
229",https://www.myntra.com/track-pants/red-tape/red-tape-men-olive-solid-joggers/19827756/buy,"60% Cotton, 40% Polyester
Machine wash with similar colors"
56,HRX by Hrithik Roshan,Men Athleisure Track Pants,1019,"3.9
|
3.8k","|
3.8k",https://www.myntra.com/track-pants/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-blue-athleisure-cotton-track-pants/6791074/buy,"Knit Track Pants
Fabric: 100% cotton
Machine-wash"
57,Harvard,Men Solid Track Pants,569,"4.1
|
3.9k","|
3.9k",https://www.myntra.com/track-pants/harvard/harvard-men-black-straight-fit-solid-track-pants/12671228/buy,"51% cotton, 49% polyester
Machine-Wash"
58,HRX by Hrithik Roshan,Men Printed Rapid-Dry Joggers,1749,"4.1
|
40","|
40",https://www.myntra.com/track-pants/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-edge-men-printed-rapid-dry-joggers/17859326/buy,"Knit Track Pants
93% Polyester & 7% Elastane
Machine Wash"
59,LOCOMOTIVE,Men Solid Slim-Fit Track Pants,584,"4
|
578","|
578",https://www.myntra.com/track-pants/locomotive/locomotive-men-black-solid-slim-fit-track-pants/14353544/buy,"60% Cotton, 40% Polyester
Machine-wash"
