,brand,product,price,rating,rating_counts,link,material_info
0,Roadster,Men Pack of 5 Cotton Pure Cotton T-shirts,1899,"4.4
|
437","|
437",https://www.myntra.com/tshirts/roadster/roadster-men-pack-of-5-solid-pure-cotton-t-shirts/13745326/buy,"100% Cotton
Machine wash"
1,Urbano Fashion,Slim Tropical Printed Pure Cotton T-shirt,494,"4.1
|
10.3k","|
10.3k",https://www.myntra.com/tshirts/urbano-fashion/urbano-fashion-men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt/12377258/buy,"Material: 100% Super Combed Cotton
Machine Wash"
2,Difference of Opinion,Men Solid Oversized Cotton,545,"4.1
|
3.1k","|
3.1k",https://www.myntra.com/tshirts/difference-of-opinion/difference-of-opinion-men-mint-green-round-neck-drop-shoulder-sleeves-cotton-loose-t-shirt/16407468/buy,"100 % Cotton
Machine wash
Dry in shade
Do not iron on the print
Wash with like colors"
3,Huetrap,Typography Print T-shirt,340,"4
|
14.3k","|
14.3k",https://www.myntra.com/tshirts/huetrap/huetrap-men-beige--black-typography-printed-sustainable-t-shirt/11148764/buy,"Material: 52% Cotton 48% Polyester
Machine Wash"
4,H&M,Cotton Pure Cotton T-shirt Regular Fit,399,"4.2
|
7.8k","|
7.8k",https://www.myntra.com/tshirts/hm/hm-men-white-solid-cotton-pure-cotton-t-shirt-regular-fit/11468714/buy,"100% Cotton
Machine-wash"
5,WROGN,Solid Polo Collar T-shirt,699,"4.3
|
1.7k","|
1.7k",https://www.myntra.com/tshirts/wrogn/wrogn-men-teal-green-solid-polo-collar-t-shirt/11363700/buy,"60% Cotton 40% Polyester
Machine-wash"
6,HRX by Hrithik Roshan,Printed Pure Cotton T-shirt,419,"4.2
|
50.9k","|
50.9k",https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-teal-blue-printed-pure-cotton-t-shirt/1700871/buy,"100% cotton
Machine-wash"
7,CHKOKKO,Men Solid High Neck T-shirt,746,"4.3
|
1.3k","|
1.3k",https://www.myntra.com/tshirts/chkokko/chkokko-men-black-solid-high-neck-t-shirt/10481292/buy,"52% cotton, 48% poyester
Machine-wash"
8,WROGN,Striped Slim Fit Cotton Pure Cotton T-shirt,649,"4.3
|
1.2k","|
1.2k",https://www.myntra.com/tshirts/wrogn/wrogn-men-navy-blue-striped-slim-fit-cotton-pure-cotton-t-shirt/11363302/buy,"Material: 100% Cotton
Machine Wash"
9,Louis Philippe Jeans,Men Pure Cotton T-shirt,766,"4.2
|
1k","|
1k",https://www.myntra.com/tshirts/louis-philippe-jeans/louis-philippe-jeans-men-white-pure-cotton-t-shirt/15203074/buy,"100% Cotton
Machine wash"
10,Louis Philippe Sport,Men Polo Collar T-shirt,766,"4.4
|
624","|
624",https://www.myntra.com/tshirts/louis-philippe-sport/louis-philippe-sport-men-teal-polo-collar-t-shirt/18762136/buy,"60% Cotton, 40% Polyester
Machine wash"
11,Roadster,Longline T-shirt with Raw Edge,279,"3.9
|
9.3k","|
9.3k",https://www.myntra.com/tshirts/roadster/roadster-men-grey-melange-longline-t-shirt-with-raw-edges/1824340/buy,"Cotton and blended
Machine-wash"
12,Roadster,Striped Polo Collar T-shirt,699,"4.2
|
56","|
56",https://www.myntra.com/tshirts/roadster/roadster-men-off-white--rust-orange-striped-polo-collar-t-shirt/12904032/buy,"Material: Cotton
Machine Wash"
13,Minions by Kook N Keech,Printed Round Neck Pure Cotton T-shirt,494,"4.2
|
1.9k","|
1.9k",https://www.myntra.com/tshirts/minions-by-kook-n-keech/minions-by-kook-n-keech-men-purple-boxy-fit-printed-round-neck-pure-cotton-t-shirt/8923841/buy,"100% Cotton
Machine-wash"
14,Louis Philippe Sport,Men Polo Collar T-shirt,766,"4.5
|
775","|
775",https://www.myntra.com/tshirts/louis-philippe-sport/louis-philippe-sport-men-brown-polo-collar-t-shirt/18762302/buy,"60% Cotton, 40% Polyester
Machine wash"
15,Roadster,Men Striped Polo Pure Cotton T-shirt,749,"4.2
|
4.6k","|
4.6k",https://www.myntra.com/tshirts/roadster/the-roadster-lifestyle-co-men-teal-blue--white-striped-polo-collar-pure-cotton-t-shirt/9973269/buy,"100% cotton
Machine-wash"
16,Roadster,Colourblocked Polo Collar Pure Cotton T-shirt,649,"4
|
3.6k","|
3.6k",https://www.myntra.com/tshirts/roadster/roadster-men-green--black-colourblocked-polo-collar-pure-cotton-t-shirt/11456884/buy,"Material: 100% Cotton
Machine Wash"
