,brand,product,price,rating,rating_counts,link,material_info
0,Athena,Accordion Pleats Wrap Dress,1231,"4.2
|
868","|
868",https://www.myntra.com/dresses/athena/athena-lavender-solid-accordion-pleats-wrap-dress/18962952/buy,"Polyester
Dry Clean"
1,Athena,Denim Cotton Sheath Dress,1595,"2.8
|
9","|
9",https://www.myntra.com/dresses/athena/athena-cotton-denim-sheath-dress/21394918/buy,"Cotton 
Hand Wash"
2,Antheaa,Smocked Tiered Midi Dress,1271,"4.2
|
3k","|
3k",https://www.myntra.com/dresses/antheaa/antheaa-fuchsia-solid-chiffon-smocked-tiered-midi-dress/15577328/buy,"Polyester
Hand Wash"
3,SASSAFRAS,Floral Waist Cut-Out Dress,999,"4.4
|
1k","|
1k",https://www.myntra.com/dresses/sassafras/sassafras-red--beige-floral-waist-cut-out-maxi-dress/17787796/buy,"100% Polyester
Machine wash"
4,SASSAFRAS,Blazer Dress,799,"4.2
|
8.4k","|
8.4k",https://www.myntra.com/dresses/sassafras/sassafras-black-blazer-dress/10607436/buy,"86% polyester, 14% spandex
Dry-clean"
5,Athena,Slit Sleeves Maxi Dress,1999,"4.2
|
1k","|
1k",https://www.myntra.com/dresses/athena/athena-black-embellished-slit-sleeves-maxi-dress/10813300/buy,"100% polyester
Hand-wash"
6,Antheaa,Floral Print Fit & Flare Dress,1229,"4.3
|
9.6k","|
9.6k",https://www.myntra.com/dresses/antheaa/antheaa-black--rust-orange-floral-print-tiered-midi-fit--flare-dress-with-ruffles/12595594/buy,"Material: Poly chiffon
Hand Wash"
7,Ishin,Ethnic Motifs Dress,1979,"4.2
|
2.8k","|
2.8k",https://www.myntra.com/dresses/ishin/ishin-off-white-ethnic-motifs-dress/13901756/buy,"Material: Cotton
Dry Clean"
8,Ahalyaa,Striped Ethnic Maxi Dress,1440,"4.1
|
281","|
281",https://www.myntra.com/ethnic-dresses/ahalyaa/ahalyaa-orange-striped-ethnic-maxi-dress/19411938/buy,"Crepe
Hand Wash"
9,AASK,Floral Crepe Midi Dress,898,"4.6
|
47","|
47",https://www.myntra.com/dresses/aask/aask-floral-crepe-midi-dress/21401628/buy,"Polyester
Machine Wash"
10,Berrylush,Floral Ruched Dress,551,"4.2
|
1.6k","|
1.6k",https://www.myntra.com/dresses/berrylush/berrylush-women-gorgeous-red-floral-ruched-dress/15583258/buy,"Polyester
Machine Wash"
11,Janasya,Floral Georgette Midi Dress,988,"4.2
|
1.2k","|
1.2k",https://www.myntra.com/ethnic-dresses/janasya/janasya-blue-floral-georgette-midi-dress/14867358/buy,"Georgette ,
Hand wash"
12,Rustorange,Ethnic Motifs Maxi Dress,1425,"4.4
|
1.5k","|
1.5k",https://www.myntra.com/ethnic-dresses/rustorange/rustorange-black--orange-ethnic-motifs-printed-maxi-dress/11101348/buy,"Material: Viscose Rayon
Hand Wash"
13,Athena,Tulip Wrap Dress,739,"4.6
|
3k","|
3k",https://www.myntra.com/dresses/athena/athena-black-tulip-wrap-dress-with-volume-sleeves/14827890/buy,"Polyester 
Hand wash"
14,Athena,Embellished Bling and Sparkly Dress,1434,"4.2
|
494","|
494",https://www.myntra.com/dresses/athena/athena-women-black-embellished-bling-and-sparkly-dress/16002926/buy,"Polyester
Machine-wash"
15,SASSAFRAS,Accordion Pleats Empire Dress,671,"4.2
|
11.5k","|
11.5k",https://www.myntra.com/dresses/sassafras/sassafras-black-accordion-pleats-empire-dress/10308591/buy,"Poly crepe
Dry-clean"
16,Antheaa,Floral Embroidered A-Line Midi Dress,1679,"4.5
|
279","|
279",https://www.myntra.com/dresses/antheaa/antheaa-teal-green--brown-floral-dobby-woven-embellished-maxi-tiered-dress/19473744/buy,"Polyester
Machine wash
Dark Colours to be washed Separately"
17,Libas,Ethnic Motifs A-Line Dress,1165,"4.4
|
14.5k","|
14.5k",https://www.myntra.com/ethnic-dresses/libas/libas-black-embroidered-ethnic-motifs-a-line-dress/10842022/buy,"Viscose Rayon
Machine-wash"
18,Veni Vidi Vici,Ruched Bodycon Dress,850,"4.3
|
6.1k","|
6.1k",https://www.myntra.com/dresses/veni-vidi-vici/veni-vidi-vici-black-ruched-bodycon-dress/10054821/buy,"95% polyester, 5% elastane
Machine-wash"
19,SASSAFRAS,Floral Wrap Dress,863,"4.4
|
18.1k","|
18.1k",https://www.myntra.com/dresses/sassafras/sassafras-black--pink-floral-printed-wrap-dress/10856160/buy,"100% polyester
Machine-wash"
20,Rustorange,Women Printed A-Line Dress,1425,"4.3
|
1.4k","|
1.4k",https://www.myntra.com/ethnic-dresses/rustorange/rustorange-women-maroon--grey-printed-a-line-dress/11101422/buy,"Material: Viscose Rayon
Hand Wash"
21,20Dresses,Floral Print Tiered Maxi Dress,1596,"4.5
|
2.8k","|
2.8k",https://www.myntra.com/dresses/20dresses/20dresses-black--off-white-floral-print-high-slit-tiered-maxi-dress/11844032/buy,"Material: Poly-georgette
Machine Wash"
22,Fabflee,Printed Floral Midi Dress,749,"4.1
|
35","|
35",https://www.myntra.com/dresses/fabflee/fabflee-printed-floral-keyhole-neck-midi-dress/20781956/buy,"Georgette
Hand Wash"
