,brand,product,price,rating,rating_counts,link,material_info
0,QOMN,Print Mandarin Collar Empire Top,1049,"4.5
|
311","|
311",https://www.myntra.com/tops/qomn/qomn-blue-print-mandarin-collar-empire-pure-cotton-longline-top/19524874/buy,"100% cotton
Hand Wash"
1,Rain & Rainbow,Printed Pure Cotton Kurti,767,"4.1
|
102","|
102",https://www.myntra.com/kurtis/rain--rainbow/rain--rainbow-rust--mustard-yellow-printed-pure-cotton-kurti/19791536/buy,"Pure Cotton
Machine wash"
2,Ishin,Floral Tie-Up Neck Applique Empire Top,1559,"4.1
|
231","|
231",https://www.myntra.com/tops/ishin/ishin-off-white--red-floral-tie-up-neck-applique-empire-top/14602034/buy,"Cotton
Dry clean"
3,Sangria,Embroidered Top,759,"4.2
|
169","|
169",https://www.myntra.com/tops/sangria/sangria-teal-blue-embroidered-longline-top/19066168/buy,"Top Material:Viscose blend
Hand wash "
4,Sangria,Embroidered Top,759,"4.2
|
160","|
160",https://www.myntra.com/tops/sangria/sangria-maroon-embroidered-longline-top/19066166/buy,"Top Material:Viscose blend
Hand wash "
5,Divena,Floral Mandarin Collar Shirt Style Top,799,"4.5
|
432","|
432",https://www.myntra.com/tops/divena/divena-peach-coloured--green-floral-print-mandarin-collar-shirt-style-top/14815012/buy,"Viscose rayon
Hand wash"
6,Anubhutee,Ethnic Motifs Printed Kurti,591,"4.3
|
1.2k","|
1.2k",https://www.myntra.com/kurtis/anubhutee/anubhutee-pink-ethnic-motifs-printed-kurti/17413232/buy,"Viscose Rayon
Hand Wash"
7,Nayo,Printed Tunic,610,"4.2
|
1.7k","|
1.7k",https://www.myntra.com/tunics/nayo/nayo-womens-maroon--cream-coloured-printed-tunic/14170550/buy,"Material: Cotton
Hand Wash"
8,QOMN,Geometric Printed Regular Top,799,"4.4
|
1.3k","|
1.3k",https://www.myntra.com/tops/qomn/qomn-navy-blue-geometric-printed-pure-cotton-regular-top/14182598/buy,"Pure cotton
Machine wash"
9,Vishudh,Printed Tunic,599,"4.1
|
1.7k","|
1.7k",https://www.myntra.com/tunics/vishudh/vishudh-white--blue-printed-tunic/9971483/buy,"Cotton
Machine-wash"
10,KALINI,Solid Top,461,"4.3
|
274","|
274",https://www.myntra.com/tops/kalini/kalini-brown-solid-top/17959692/buy,"Viscose rayon
Dry clean"
11,Paralians,Floral Embroidered Top,499,"4.2
|
363","|
363",https://www.myntra.com/tops/paralians/paralians-maroon--golden-floral-embroidered-ethnic-crop-top/18413472/buy,"Polyester
Machine Wash"
12,Shae by SASSAFRAS,Zari Embroidered A-Line Top,539,"4.4
|
1k","|
1k",https://www.myntra.com/tops/shae-by-sassafras/shae-by-sassafras-black--golden-zari-embroidered-liva-a-line-top/14572254/buy,"Liva
Dry clean"
13,antaran,Floral Printed Pure Cotton Kurti,742,"3.7
|
202","|
202",https://www.myntra.com/kurtis/antaran/antaran-beige-floral-printed-pure-cotton-kurti/16777048/buy,"Pure Cotton<>Machine Wash
AI4"
14,Janasya,Floral Georgette Top,704,"3.9
|
695","|
695",https://www.myntra.com/tops/janasya/janasya-navy-blue--white-floral-georgette-top/14704112/buy,"Polyester
Hand wash"
15,Azira,Printed Bell Sleeves A-Line Top,599,"4.2
|
3.3k","|
3.3k",https://www.myntra.com/tops/azira/azira-multicoloured-ethnic-motifs-print-bell-sleeves-a-line-top/14120438/buy,"Viscose rayon
Machine wash"
16,Sangria,Embroidered Cinched Waist Top,699,"4.4
|
65","|
65",https://www.myntra.com/tops/sangria/sangria-teal-embroidered-cinched-waist-longline-top/19066178/buy,"Top Material:Viscose blend
Machine wash"
17,Sangria,Floral Embroidered Pure Cotton Kurti,989,"3.7
|
63","|
63",https://www.myntra.com/kurtis/sangria/sangria-women-white-floral-embroidered-thread-work-pure-cotton-thread-work-pleated-kurti/19980840/buy,"100% Cotton
Machine-wash"
18,Rain & Rainbow,Ethnic Printed Cotton Kurti,877,"4.4
|
160","|
160",https://www.myntra.com/kurtis/rain--rainbow/rain--rainbow-women-green--orange-ethnic-printed-sequinned-pure-cotton-kurti/17606372/buy,"100% Cotton
Hand wash"
19,Paralians,Print Peplum Top,449,"3.6
|
374","|
374",https://www.myntra.com/tops/paralians/paralians-black-print-peplum-top/18478528/buy,Regular Wash
20,Divena,Mandarin Collar Shirt Style Top,799,"4.6
|
236","|
236",https://www.myntra.com/tops/divena/divena-navy-blue--beige-ethnic-motifs-print-mandarin-collar-shirt-style-top/14815016/buy,"Viscose rayon
Hand wash"
21,Rain & Rainbow,Floral Printed Cotton Kurti,877,"4.4
|
114","|
114",https://www.myntra.com/kurtis/rain--rainbow/rain--rainbow-women-green--pink-floral-printed-sequinned-pure-cotton-kurti/17606376/buy,"100% Cotton
Hand wash"
22,HERE&NOW,Embroidered A-Line Kurti,959,"4.3
|
77","|
77",https://www.myntra.com/kurtis/herenow/herenow-women-beige--white-embroidered-a-line-kurti/12037936/buy,"Shell: 73% cotton, 27% nylon
Lining: Cotton
Machine-wash"
23,Divena,Mandarin Collar Shirt Style Top,799,"4.3
|
225","|
225",https://www.myntra.com/tops/divena/divena-red--orange-ethnic-motifs-print-mandarin-collar-shirt-style-top/14815008/buy,"Viscose rayon
Hand wash"
24,Vishudh,Ethnic Motifs Printed Top,494,"4.1
|
545","|
545",https://www.myntra.com/tops/vishudh/vishudh-mustard--blue-ethnic-motifs-printed-pure-cotton-empire-top/15361606/buy,"Cotton
Machine wash"
25,Sangria,Mandarin Collar Kurti,569,"4.6
|
9","|
9",https://www.myntra.com/kurtis/sangria/sangria-women-solid-mandarin-collar-kurti/21332920/buy,"Material:100% Viscose Rayon
Machine wash"
26,InWeave,Pure Cotton A-Line Top,791,"3.9
|
674","|
674",https://www.myntra.com/tops/inweave/inweave--women-blue-colourblocked-pure-cotton-a-line-top/14402634/buy,"100 % Cotton
Hand wash"
27,Sangria,Embroidered Detail A-Line Top,599,"4.5
|
45","|
45",https://www.myntra.com/tops/sangria/sangria-blue-embroidered-detail-a-line-top/18890690/buy,"100% Rayon
Machine-wash"
28,FABRIC FITOOR,Striped Pure Cotton Kurti,831,"4.4
|
13","|
13",https://www.myntra.com/kurtis/fabric-fitoor/fabric-fitoor-off-white-striped-pure-cotton-panelled-kurti/20653828/buy,"Pure cotton
Hand wash"
29,Shae by SASSAFRAS,Velvet Kurti,899,"4.1
|
158","|
158",https://www.myntra.com/kurtis/shae-by-sassafras/shae-by-sassafras-black-velvet-kurti/15956974/buy,"Velvet
Dry clean"
