,brand,product,price,rating,rating_counts,link,material_info
0,KALINI,Women Yoke Design Kurta Set,887,"4.1
|
9.3k","|
9.3k",https://www.myntra.com/kurta-sets/kalini/kalini-women-beige-floral-yoke-design-straight-kurta-with-trousers--with-dupatta/18652620/buy,"Kurta Fabric: Cotton Blend,
Dry Clean Only"
1,Khushal K,Women Kurta Set With Dupatta,1427,"4.4
|
9.6k","|
9.6k",https://www.myntra.com/kurta-sets/khushal-k/khushal-k-women-black-ethnic-motifs-printed-kurta-with-palazzos--with-dupatta/17048614/buy,"100% Rayon
Machine wash"
2,Ahalyaa,Women Printed Kurta with Palazzos With Dupatta,1249,"3.6
|
4.6k","|
4.6k",https://www.myntra.com/kurta-sets/ahalyaa/ahalyaa-women-beige-floral-printed-regular-gotta-patti-kurta-with-palazzos--with-dupatta/14951330/buy,"Top fabric: Poly Crepe
Bottom fabric: Poly Crepe
Dupatta fabric: Net
Machine wash"
3,HERE&NOW,Women Floral Embroidered Georgette Kurta,659,"4.5
|
1.7k","|
1.7k",https://www.myntra.com/kurtas/herenow/herenow-women-chikankari-embroidered-thread-work-georgette-anarkali-kurta/19231474/buy,"Material : Georgette
Machine Wash"
4,KALINI,Women Printed Kurta with Trousers With Dupatta,874,"4.1
|
5.1k","|
5.1k",https://www.myntra.com/kurta-sets/kalini/kalini-women-pink-floral-printed-kurta-with-trousers--with-dupatta/17741474/buy,"Kurta Fabric: Cotton Blend
Dry Clean Only"
5,Libas,Zari Woven Design Kurta Set,2699,"4.6
|
1.6k","|
1.6k",https://www.myntra.com/kurta-sets/libas/libas-women-beige--mustard-yellow-zari-woven-design-straight-kurta-trousers-dupatta/17487194/buy,"Silk blend 
Dupatta fabric: Chiffon 
Machine Wash"
6,KALINI,Women Embroidered Kurta Set,887,"4.1
|
398","|
398",https://www.myntra.com/kurta-sets/kalini/kalini-women-green-embroidered-thread-work-kurta-with-trousers--dupatta/20498352/buy,"Top: Cotton blend
Bottom: Cotton blend
Dupatta: Poly chiffon
Dry clean"
7,Libas,Cotton Floral Print Kurta Sets,1475,"4.4
|
11.8k","|
11.8k",https://www.myntra.com/kurta-sets/libas/libas-women-navy-blue-pure-cotton-floral-print-kurta-with-palazzos--dupatta/14046594/buy,"Top fabric: Pure Cotton
Bottom fabric: Pure Cotton
Dupatta fabric: Pure Cotton
Machine wash"
8,Indo Era,Women Yoke Design Kurta with Palazzos With Dupatta,1727,"4
|
1.7k","|
1.7k",https://www.myntra.com/kurta-sets/indo-era/indo-era-women-white-floral-yoke-design-regular-mirror-work-kurta-with-palazzos--with-dupatta/15508982/buy,"Top fabric: Cotton Blend
Bottom fabric: Cotton Blend
Dupatta fabric: Net
Hand wash"
9,Ahalyaa,Women Printed Kurta with Palazzos,1499,"4
|
67","|
67",https://www.myntra.com/kurta-sets/ahalyaa/ahalyaa-women-floral-printed-angrakha-kurta-with-palazzos/21023090/buy,"Poly georgette
Machine Wash"
10,Nayo,Women Kurta With Trouser,1368,"4.1
|
7.6k","|
7.6k",https://www.myntra.com/kurta-sets/nayo/nayo-women-red-floral-printed-kurta-with-trouser--dupatta/14709966/buy,"Top fabric: Pure Cotton
Bottom fabric: Pure Cotton
Dupatta fabric: Cotton Blend
Hand wash"
11,Anubhutee,Women Embroidered Kurta with Trousers With Dupatta,1469,"4.2
|
4.7k","|
4.7k",https://www.myntra.com/kurta-sets/anubhutee/anubhutee-women-navy-blue-ethnic-motifs-embroidered-thread-work-kurta-with-trousers--with-dupatta/16331376/buy,"Viscose rayon
Hand Wash"
12,Varanga,Women Yoke Design Kurta with Trousers With Dupatta,1399,"4.2
|
678","|
678",https://www.myntra.com/kurta-sets/varanga/varanga-women-mustard-yellow-yoke-design-mirror-work-cotton-kurta-with-trousers--dupatta/17251490/buy,"Top Fabric:Pure Cotton
Bottom Fabric:Pure Cotton
Dupatta Fabric:Silk Blend
Hand-wash"
13,Indo Era,Women Yoke Design Kurta with Trousers With Dupatta,1859,"4.1
|
1.3k","|
1.3k",https://www.myntra.com/kurta-sets/indo-era/indo-era-women-yellow-floral-yoke-design-regular-kurta-with-trousers--with-dupatta/15508918/buy,"Top fabric: Viscose Rayon
Bottom fabric: Viscose Rayon
Dupatta fabric: Organza
Dry clean"
14,KALINI,Women Printed Kurta with Trousers With Dupatta,836,"4
|
2.3k","|
2.3k",https://www.myntra.com/kurta-sets/kalini/kalini-women-blue-floral-printed-kurta-with-trousers--with-dupatta/18119958/buy,"Kurta Fabric: Cotton Blend, Dry Clean Only"
15,Anouk,Kurta with Palazzos & Dupatta,1519,"4.3
|
3.7k","|
3.7k",https://www.myntra.com/kurta-sets/anouk/anouk-women-olive-green-ethnic-motifs-yoke-design-kurta-with-palazzos--with-dupatta/14399812/buy,"Top fabric: Viscose Rayon
Bottom fabric: Viscose Rayon
Dupatta fabric: Poly Chiffon
Hand wash"
16,Varanga,Embroidered Kurta with Trousers & Dupatta,999,"4.1
|
5.9k","|
5.9k",https://www.myntra.com/kurta-sets/varanga/varanga-women-magenta--gold-toned-embroidered-kurta-with-trousers--dupatta/13647608/buy,"Kurta fabric: art silk
Bottom fabric: art silk
Dupatta fabric: silk blend
Hand-wash"
17,KALINI,Women Yoke Design Kurta with Palazzos With Dupatta,850,"4.2
|
5.6k","|
5.6k",https://www.myntra.com/kurta-sets/kalini/kalini-women-teal-yoke-design-kurta-with-palazzos--with-dupatta/16836356/buy,"Kurta Fabric: Cotton Blend
Dupatta Fabric: Chiffon
Dry Clean"
18,Varanga,Women Printed Kurta with Trousers With Dupatta,1598,"3.9
|
365","|
365",https://www.myntra.com/kurta-sets/varanga/varanga-women-magenta-printed-kurta-with-trousers--dupatta/19045534/buy,"Top Fabric :Silk Blend , Bottom:Silk Blend, Dupatta:Silk Chiffon
Hand Wash"
19,Varanga,Women Yoke Design Kurta with Trousers With Dupatta,2199,"3.9
|
132","|
132",https://www.myntra.com/kurta-sets/varanga/varanga-women-mauve-floral-yoke-design-chanderi-silk-kurta-with-trousers--with-dupatta/20953150/buy,"Top Fabric : Chanderi Silk, Bottom Fabric : Silk Blend, Dupatta Fabric : Net, Dry Clean"
20,Varanga,Women Embroidered Kurta Set,1899,"4.2
|
783","|
783",https://www.myntra.com/kurta-sets/varanga/varanga-women-maroon-embroidered-yoke-design-kurta-with-trousers--dupatta/17932254/buy,"Top fabric: Art Silk
Bottom fabric: Art Silk
Dupatta fabric: Organza
Dry clean"
21,Anouk,Women Yoke Design Kurta Set,1319,"4.4
|
622","|
622",https://www.myntra.com/kurta-sets/anouk/anouk-women-black-ethnic-motifs-yoke-design-kurta-with-palazzos--dupatta/16707396/buy,"100% Viscose Rayon
Machine Wash"
22,Indo Era,Women Yoke Design Kurta Sets,1469,"4.3
|
5.4k","|
5.4k",https://www.myntra.com/kurta-sets/indo-era/indo-era-women-yoke-design-straight-kurta-and-palazzo-with-dupatta-/13962282/buy,"Kurta fabric: Liva(Viscose rayon)
Bottom fabric: Liva(Viscose rayon)
Dupatta fabric: Art silk
Dry Clean"
23,KALINI,Women Printed Kurta with Trousers,735,"4
|
1.9k","|
1.9k",https://www.myntra.com/kurta-sets/kalini/kalini-women-blue-printed-straight-kurta-with-trousers/18709124/buy,"Kurta Fabric: Cotton Blend
Dry Clean Only"
24,Libas,Women Printed Kurta with Palazzos With Dupatta,2079,"4.2
|
2.7k","|
2.7k",https://www.myntra.com/kurta-sets/libas/libas-women-pink-floral-printed-panelled-pure-cotton-kurta-with-palazzos--with-dupatta/16857646/buy,Gentle Machine Wash
25,all about you,Women Printed Kurta Set,1484,"4
|
85","|
85",https://www.myntra.com/kurta-sets/all-about-you/all-about-you-women-grey-ikat-printed-pure-cotton-kurta-with-trousers--dupatta/16319388/buy,"Top fabric: Pure Cotton
Bottom fabric: Pure Cotton
Dupatta fabric: Pure Cotton
Machine wash"
26,Indo Era,Women Yoke Design Kurta with Palazzos With Dupatta,1199,"4.3
|
2.6k","|
2.6k",https://www.myntra.com/kurta-sets/indo-era/indo-era-women-purple-yoke-design-kurta-with-palazzos--with-dupatta/16712782/buy,"Kurta: Cotton Blend
Bottom:Cotton Blend
Dupatta: Art Silk
Dry Clean"
27,KALINI,Striped Kurta Sets,799,"4.3
|
80","|
80",https://www.myntra.com/kurta-sets/kalini/kalini-kalini-women-green-striped-kurta-with-trousers--dupatta/21082388/buy,"Cotton blend
Machine Wash"
28,Khushal K,Women Yoke Design Kurta with Palazzos With Dupatta,1427,"4.3
|
3.7k","|
3.7k",https://www.myntra.com/kurta-sets/khushal-k/khushal-k-women-pink-kurta-with-palazzos--dupatta/18483950/buy,100% Rayon
29,Varanga,Calm Blue and Beige Ethnic Motifs Print Kurta,689,"4.1
|
4.2k","|
4.2k",https://www.myntra.com/kurtas/varanga/varanga-calm-blue-and-beige-ethnic-motifs-print-kurta/13769458/buy,"Silk blend 
Hand wash"
30,AHIKA,Printed Kurta with Trousers & Dupatta,999,"4.2
|
831","|
831",https://www.myntra.com/kurta-sets/ahika/ahika-women-black--white-printed-kurta-with-trousers--dupatta/13415734/buy,"Cotton Blend
Hand-wash"
31,Stylum,Printed Anarkali Kurta,749,"4.1
|
462","|
462",https://www.myntra.com/kurtas/stylum/stylum-women-mustard-yellow-ethnic-motifs-printed-anarkali-kurta/19448422/buy,"100% Rayon
Machine wash"
32,KALINI,Women Embroidered Kurta Set,887,"4.2
|
420","|
420",https://www.myntra.com/kurta-sets/kalini/kalini-women-green-ethnic-motifs-embroidered-thread-work-kurta-with-palazzo--dupatta/20282678/buy,"Kurta material: Cotton blend
Palazzo material: Cotton Blend
Dupatta:net
Dry Clean"
33,Anouk,Women Printed Kurta with Palazzos With Dupatta,1519,"4.4
|
526","|
526",https://www.myntra.com/kurta-sets/anouk/anouk-women-black-ethnic-motifs-printed-kurta-with-palazzos--with-dupatta/17911110/buy,"100% Viscose Rayon
Machine wash"
34,KALINI,Women Kurta with Palazzos With Dupatta,799,"4.2
|
3.9k","|
3.9k",https://www.myntra.com/kurta-sets/kalini/kalini-women-blue-ethnic-motifs-kurta-with-palazzos--with-dupatta/18815868/buy,"Kurta Fabric: Cotton Blend, Dry Clean Only"
35,KALINI,Women Embroidered Kurta Set,872,"4.1
|
404","|
404",https://www.myntra.com/kurta-sets/kalini/kalini-women-navy-blue-ethnic-motifs-embroidered-thread-work-kurta-with-trouser--dupatta/20327020/buy,"Kurta Fabric: Cotton Blend
Dry Clean"
36,KALINI,Women Geometric Printed Kurta,719,"4.3
|
1.6k","|
1.6k",https://www.myntra.com/kurtas/kalini/kalini-women-brown-geometric-printed-flared-sleeves-thread-work-kurta/16966156/buy,"Viscose Rayon
Machine wase"
37,Ahalyaa,Top to Toe Fusion Kurta Set,1129,"4.1
|
900","|
900",https://www.myntra.com/kurta-sets/ahalyaa/ahalyaa-geometric-crepe-top-to-toe-fusion-kurta-set/17716140/buy,Hand Wash
