,brand,product,price,rating,rating_counts,link,material_info
0,Tikhi Imli,Striped Saree,1065,"4.6
|
731","|
731",https://www.myntra.com/sarees/tikhi-imli/tikhi-imli-gunmetal-toned-striped-saree/18709036/buy,"Polyester
Dry Clean"
1,MABISH by Sonal Jain,Ready to Wear Saree,2149,"4
|
332","|
332",https://www.myntra.com/sarees/mabish-by-sonal-jain/mabish-by-sonal-jain-magenta-ruffled-ready-to-wear-saree/19691570/buy,"Polyester
Mild Hand Wash or Dry Clean only"
2,Wuxi,Banarasi Pure Silk Saree,1139,"3.1
|
22","|
22",https://www.myntra.com/sarees/wuxi/wuxi--zari-pure-silk-banarasi-saree/21403260/buy,"Pure Silk
Dry Clean"
3,Saree mall,Floral Saree,971,"3.9
|
2.5k","|
2.5k",https://www.myntra.com/sarees/saree-mall/saree-mall-floral-saree/16595858/buy,"Organza
Dry Clean"
4,all about you,Floral Embroidered Net Saree,1439,"4.3
|
824","|
824",https://www.myntra.com/sarees/all-about-you/all-about-you-black-floral-embroidered-net-saree/16311678/buy,"Saree Fabric: Net
Blouse Fabric: Art Silk
Dry Clean"
5,Mitera,Floral Silk Blend Saree,2724,"4.4
|
599","|
599",https://www.myntra.com/sarees/mitera/mitera-cream-coloured--red-floral-silk-blend-saree/18302804/buy,"Silk Blend
Dry Clean"
6,Mitera,Embellished Pure Georgette Saree,1539,"4.1
|
174","|
174",https://www.myntra.com/sarees/mitera/mitera-black-embellished-sequinned-pure-georgette-saree/17874562/buy,Dryclean only
7,Mitera,Woven Design Bandhani Saree,1377,"4
|
2.8k","|
2.8k",https://www.myntra.com/sarees/mitera/mitera-red--gold-toned-woven-design-bandhani-saree/15195736/buy,"Saree fabric: Poly Georgette
Blouse fabric: Art Silk
Dry clean"
8,KALINI,Ethnic Motifs Banarasi Silk Blend Saree,599,"3.9
|
3.3k","|
3.3k",https://www.myntra.com/sarees/kalini/kalini-maroon--gold-ethnic-motifs-zari-silk-blend-banarasi-saree/16697006/buy,"Saree Fabric : Silk Blend,
Blouse Fabric : Silk Blend,
Dry Clean"
9,kasee,Embellished Saree,1579,,,https://www.myntra.com/sarees/kasee/kasee-embellished-beads-and-stones-saree/21209326/buy,"Pure Georgette
Dry clean only"
10,VASTRANAND,Kalamkari Block Print Linen Blend Saree,1388,"4.3
|
1.3k","|
1.3k",https://www.myntra.com/sarees/vastranand/vastranand-peach-coloured--multicoloured-kalamkari-sequinned-linen-blend-block-print-saree/17150536/buy,"Saree fabric: Linen Blend
Blouse fabric:Linen Blend
Dry Clean"
11,KARAGIRI,Woven Design Kanjeevaram Silk Blend Saree,3935,"4.1
|
40","|
40",https://www.myntra.com/sarees/karagiri/karagiri-purple--gold-toned-woven-design-zari-silk-blend-kanjeevaram-saree/18958560/buy,Dry Clean Only
12,Mitera,Leheriya Silk Blend Saree,683,"4.1
|
1.7k","|
1.7k",https://www.myntra.com/sarees/mitera/mitera-green--gold-toned-silk-blend-fusion-leheriya-saree/15071236/buy,"Saree fabric: Silk Blend
Blouse fabric: Silk Blend
Dry clean"
13,Mitera,Solid Saree,1329,"4.2
|
213","|
213",https://www.myntra.com/sarees/mitera/mitera-solid-saree-with-embroidered-border/19813706/buy,"Saree fabric: Velvet
Blouse fabric: Velvet
Dry clean"
14,Tikhi Imli,Stunning Magenta Embellished Saree With Embellished Border,1799,"3.9
|
837","|
837",https://www.myntra.com/sarees/tikhi-imli/tikhi-imli-embellished-poly-crepe-saree-with-embellished-border/15039904/buy,"Saree fabric: Poly Crepe
Blouse fabric: Poly Crepe
Dry clean"
15,Mitera,Sequinned Pure Georgette Saree,1099,"4.2
|
117","|
117",https://www.myntra.com/sarees/mitera/mitera-black-sequin-embellished-pure-georgette-saree/19456812/buy,"Poly Silk
Hand Wash"
16,Tikhi Imli,Trendy Sleek Saree & Cape,1349,"4.2
|
1.6k","|
1.6k",https://www.myntra.com/sarees/tikhi-imli/tikhi-imli-trendy-mauve-sleek-poly-crepe-saree-with-embellished-border--cape/13919148/buy,"Saree fabric: Poly Crepe
Blouse fabric: Poly Crepe
Dry clean"
17,Inddus,Net Embroidered Ruffled Saree,2045,"4.3
|
615","|
615",https://www.myntra.com/sarees/inddus/inddus-grey--golden-net-embroidered-ruffled-saree/13427898/buy,"Saree fabric: net
Blouse fabric: poly georgette
Dry-clean"
18,Mitera,Woven Design Banarasi Silk Blend Saree,2235,"4.3
|
386","|
386",https://www.myntra.com/sarees/mitera/mitera-lavender--gold-toned-woven-design-zari-silk-blend-banarasi-saree/18924156/buy,Dry Clean
19,Jinax,Banarasi Pure Silk Saree,1079,"3
|
119","|
119",https://www.myntra.com/sarees/jinax/jinax-green--gold-toned-ethnic-motifs-zari-pure-silk-banarasi-saree/20119554/buy,"Saree fabric: Pure silk
Blouse fabric: Pure silk
Dry clean"
20,Mitera,Striped Saree,1979,"4.2
|
728","|
728",https://www.myntra.com/sarees/mitera/mitera-striped-saree-with-embellished-border/16590040/buy,"80% Silk & 20% polyster
Dry Clean"
21,Mitera,Ethnic Motifs Kanjeevaram Silk Blend Saree,1403,"4.2
|
703","|
703",https://www.myntra.com/sarees/mitera/mitera-cream-coloured--gold-toned-ethnic-motifs-zari-silk-blend-kanjeevaram-saree/17905600/buy,"Silk blend
Dry Clean"
22,Mitera,Floral Banarasi Silk Blend Saree,2724,"4.3
|
494","|
494",https://www.myntra.com/sarees/mitera/mitera-navy-blue--pink-floral-zari-silk-blend-banarasi-saree/18302894/buy,"Silk Blend
Dry Clean"
23,MABISH by Sonal Jain,Ready to Wear Saree,1934,"3.8
|
80","|
80",https://www.myntra.com/sarees/mabish-by-sonal-jain/mabish-by-sonal-jain-green-belted-ready-to-wear-frilled-saree/19691578/buy,"Polyester
Mild Hand Wash or Dry Clean only"
24,Saree mall,Floral Banarasi Linen Blend Saree,983,"4.2
|
1.3k","|
1.3k",https://www.myntra.com/sarees/saree-mall/saree-mall-black-floral-linen-blend-banarasi-saree/16287682/buy,"Saree fabric: linen blend
Blouse fabric: linen blend
Dry Clean"
