,brand,product,price,rating,rating_counts,link,material_info
0,MANGO,High-Rise Mom Fit Denim Shorts,1912,"4.6
|
7","|
7",https://www.myntra.com/shorts/mango/mango-women-pure-cotton-high-rise-mom-fit-denim-shorts/19542632/buy,"100% Cotton
Machine wash"
1,SASSAFRAS,Plaid Check Mini Skirt,674,"4
|
497","|
497",https://www.myntra.com/skirts/sassafras/sassafras-women-black--red-plaid-check-mini-skirt/16044130/buy,"100% Cotton
Machine Wash"
2,H&M,Cotton Shorts,844,"4.6
|
127","|
127",https://www.myntra.com/shorts/hm/hm-women-white-cotton-shorts/18747012/buy,"99% Cotton, 1% Elastane
Machine wash"
3,Taavi,Kalamkari Print Ethnic Sustainable Pure Cotton Skirt,664,"4.3
|
3.6k","|
3.6k",https://www.myntra.com/skirts/taavi/taavi-black--maroon-kalamkari-hand-block-print-ethnic-sustainable-maxi-pure-cotton-skirt-with-gathers/7393506/buy,"100% cotton
Hand-wash cold, Wash dark colours separately"
4,FableStreet,Accordion Pleated A-Line Midi Skirt,1646,"4.2
|
371","|
371",https://www.myntra.com/skirts/fablestreet/fablestreet-white-accordion-pleated-a-line-midi-skirt/13774426/buy,"Material: Polyester crepe
Lining: Polyester
Hand-wash"
5,MANGO,Women Accordion Pleated Skirt,3136,,,https://www.myntra.com/skirts/mango/mango-women-solid-accordion-pleated-satin-a-line-midi-skirt/21322720/buy,"70% polyester, 30% recycled polyester
Machine wash"
6,Chemistry,Denim A-Line Pure Cotton Skirt,999,"4.1
|
1.3k","|
1.3k",https://www.myntra.com/skirts/chemistry/chemistry-blue-denim-a-line-pure-cotton-skirt/8506567/buy,"100% cotton
Machine Wash"
7,SASSAFRAS,Women Washed Denim Shorts,674,"4.1
|
500","|
500",https://www.myntra.com/shorts/sassafras/sassafras-women-blue-washed-high-rise-distressed-denim-shorts/13935946/buy,"96% cotton 4% lycra
machine wash"
8,SASSAFRAS,Maxi Flared Skirt,639,"4.4
|
6.7k","|
6.7k",https://www.myntra.com/skirts/sassafras/sassafras-black-accordian-pleat-maxi-flared-skirt/10308581/buy,"100% polyester
Dry Clean"
9,HRX by Hrithik Roshan,Women Rapid dry Sports Shorts,509,"4.5
|
2.1k","|
2.1k",https://www.myntra.com/shorts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-women-black-solid-regular-fit-rapid-dry-sports-shorts/8328163/buy,"93% polyester, 7% elastane
Machine-wash"
10,SASSAFRAS,Women Solid Summer Shorts,719,"4.6
|
144","|
144",https://www.myntra.com/shorts/sassafras/sassafras-women-black-solid-summer-shorts/17985650/buy,"96% cotton 4% lycra
machine wash"
11,Alsace Lorraine Paris,Women Hot Pants Shorts,599,"3.8
|
298","|
298",https://www.myntra.com/shorts/alsace-lorraine-paris/alsace-lorraine-paris-women-black-solid-hot-pants-shorts/17501050/buy,"Cotton 
Machine wash"
12,KASSUALLY,Women Printed Flared Midi Skirt,799,"4.3
|
732","|
732",https://www.myntra.com/skirts/kassually/kassually-women-black--beige-printed-flared-midi-skirt/13108074/buy,"Polyester
Hand-wash
Wash dark colour separately
Do not bleach
Warm iron if needed"
13,Jaipur Kurti,Women Floral Khadi Printed Flared Maxi Skirt,860,"4.3
|
222","|
222",https://www.myntra.com/skirts/jaipur-kurti/jaipur-kurti-women-green--peach-coloured-floral-khadi-printed-flared-maxi-skirt/14862868/buy,"Viscose rayon
Hand-wash"
14,Roadster,Women High-Rise Denim Shorts,899,"5
|
9","|
9",https://www.myntra.com/shorts/roadster/the-roadster-lifestyle-co-women-high-rise-denim-shorts/18202322/buy,"98% cotton, 2% elastane
Machine wash"
15,SASSAFRAS,Women High-Rise Shorts,674,"4.2
|
254","|
254",https://www.myntra.com/shorts/sassafras/sassafras-women-white-high-rise-shorts/16989978/buy,95% Polyester 5% Lycra
16,Shae by SASSAFRAS,Solid All in the Details Skirt,1199,"4.2
|
71","|
71",https://www.myntra.com/skirts/shae-by-sassafras/shae-by-sassafras-women-stylish-black-solid-all-in-the-details-skirt/17251942/buy,"100% Polyester
Dry clean"
17,MANGO,Women Printed High-Rise Shorts,1545,"4.6
|
18","|
18",https://www.myntra.com/shorts/mango/mango-women-green-tropical-printed-high-rise-shorts/18879722/buy,"100% VISCOSE
Machine wash"
18,Zastraa,Women Loose Fit Regular Shorts,689,"4.3
|
2.2k","|
2.2k",https://www.myntra.com/shorts/zastraa/zastraa-women-black-solid-loose-fit-regular-shorts/10606448/buy,"100% Polyester
Hand-wash"
19,High Star,Women Solid A-Line Sustainable Skirt,699,"4.2
|
978","|
978",https://www.myntra.com/skirts/high-star/high-star-women-black-solid-a-line-sustainable-skirt/13265580/buy,"90% Cotton, 10% Polyester
Machine Wash"
20,ADDYVERO,Women Loose Fit High-Rise Sports Shorts,445,"4.3
|
283","|
283",https://www.myntra.com/shorts/addyvero/addyvero-women-black-loose-fit-high-rise-sports-shorts/19472706/buy,"96% Cotton, 4% Lycra
machine wash"
21,Roadster,Women Denim Straight Skirt,749,"4.4
|
975","|
975",https://www.myntra.com/skirts/roadster/roadster-women-blue-washed-denim-straight-skirt/11118508/buy,"98% Cotton, 2% Elastane
Machine-wash"
22,Roadster,Women Light Fade Denim Skirt,799,"4.5
|
310","|
310",https://www.myntra.com/skirts/roadster/roadster-women-blue-solid-light-fade-denim-skirt/11541600/buy,"98% Cotton, 2% Elastane
Machine Wash"
23,SASSAFRAS,Women Sequence Mini Skirt,849,"4.2
|
74","|
74",https://www.myntra.com/skirts/sassafras/sassafras-women-silver-coloured-sequence-mesh-net-mini-skirt/19185540/buy,"100% Polyester
Dry clean"
24,Chemistry,Denim A-Line Skirt,999,"4.3
|
1.2k","|
1.2k",https://www.myntra.com/skirts/chemistry/chemistry-blue-denim-a-line-skirt/8317561/buy,"98% cotton, 2% elastane
Machine-wash"
25,Shae by SASSAFRAS,Foil Print Maxi Skirt,919,"4.4
|
242","|
242",https://www.myntra.com/skirts/shae-by-sassafras/shae-by-sassafras-pink--golden-foil-print-flared-maxi-skirt/14572326/buy,"Poly Silk
Dry Clean"
26,Shae by SASSAFRAS,Floral Jacquard Skirt,1149,"4.3
|
230","|
230",https://www.myntra.com/skirts/shae-by-sassafras/shae-by-sassafras-charming-purple-floral-jacquard-skirt/15162598/buy,"100% Polyester
Dry-Clean"
27,MANGO,Faux Leather Mini Skirt,3690,"3.8
|
6","|
6",https://www.myntra.com/skirts/mango/mango-black-solid-faux-leather-mini-skirt-/20705322/buy,"Fabric: 100% Polyester
Coating: 100% Polyurethane
Machine wash"
28,Shae by SASSAFRAS,Tie & Dye 2.0 Skirt,1199,"4.4
|
50","|
50",https://www.myntra.com/skirts/shae-by-sassafras/shae-by-sassafras-bright-yellow-tie--dye-20-skirt/18173542/buy,"100% Polyester
Dry clean"
29,Roadster,Women Regular Fit Denim Shorts,799,"4.3
|
771","|
771",https://www.myntra.com/shorts/roadster/the-roadster-lifestyle-co-women-blue-solid-regular-fit-denim-shorts/11118426/buy,"99% cotton, 1% Spandex
Machine-wash"
30,ADDYVERO,Women Solid Trumpet Skirt,492,"4.2
|
168","|
168",https://www.myntra.com/skirts/addyvero/addyvero-women-black-solid-trumpet-skirt/19469988/buy,"96% Cotton, 4% Lycra
Machine wash"
31,FableStreet,Front Overlap Panel Mini Skort,1436,"4.4
|
241","|
241",https://www.myntra.com/skirts/fablestreet/fablestreet-black-front-overlap-panel-mini-skort/14295950/buy,"Cotton blend
Machine-wash"
32,SASSAFRAS,Women Washed Denim Shorts,749,"4.1
|
736","|
736",https://www.myntra.com/shorts/sassafras/sassafras-women-blue-washed-high-rise-denim-shorts/13936018/buy,"96% cotton 4% lycra
machine wash"
33,Varanga,Flared Maxi Dress,899,"4.3
|
738","|
738",https://www.myntra.com/skirts/varanga/varanga-blue--pink-printed-flared-maxi-dress/10653790/buy,"Cotton blend
Dry-clean"
34,SASSAFRAS,Floral Print Silk A-Line Skirt,629,"4.1
|
2.5k","|
2.5k",https://www.myntra.com/skirts/sassafras/sassafras-pink-floral-print-silk-a-line-skirt/1377086/buy,"Shell: silk
Lining: polyester and crepe
Dry-clean"
35,SASSAFRAS,Printed A-Line Skirt,674,"4.4
|
3.3k","|
3.3k",https://www.myntra.com/skirts/sassafras/sassafras-beige--orange-printed-a-line-skirt/8643283/buy,"100% polyester
Machine-wash"
36,Athena,Women Knot Style Shorts,749,"4.2
|
137","|
137",https://www.myntra.com/shorts/athena/athena-women-neon-green-knot-style-shorts/17256456/buy,"Polyester
Handwash"
37,Tokyo Talkies,Women Pure Cotton Solid Straight Mini Denim Skirt,619,"4
|
676","|
676",https://www.myntra.com/skirts/tokyo-talkies/tokyo-talkies-women-blue-solid-straight-mini-denim-skirt/11772772/buy,"Cotton
Machine wash"
38,SASSAFRAS,Women Midi Skirt,713,"4.2
|
362","|
362",https://www.myntra.com/skirts/sassafras/sassafras-women-pink-solid-midi-skirt/16989926/buy,95% Polyester 5% Lycra
39,Hypernation,Women Slim Fit Outdoor Denim Shorts,803,"4
|
120","|
120",https://www.myntra.com/shorts/hypernation/hypernation-women-black-solid-slim-fit-outdoor-denim-shorts/18155594/buy,"95% Cotton 5% Lycra
Machine Wash"
40,MANGO,Women Tweed Sustainable Skirt,2214,"4
|
6","|
6",https://www.myntra.com/skirts/mango/mango-women-red-tweed-sustainable-mini-skirt/20382722/buy,"Composition: 74% cotton, 26% polyester
Lining: 51% viscose, 49% polyester
Dry-clean"
41,Mast & Harbour,Women Distressed Denim Shorts,749,"4.4
|
217","|
217",https://www.myntra.com/shorts/mast--harbour/mast--harbour-women-blue-washed-distressed-regular-fit-denim-shorts/14012410/buy,"99% cotton, 1% elastane
Machine-wash"
42,Shae by SASSAFRAS,Women Sleek Skirt,919,"4.3
|
223","|
223",https://www.myntra.com/skirts/shae-by-sassafras/shae-by-sassafras-women-stylish-black-sleek-skirt/15162538/buy,"100% Polyester
Dry-Clean"
43,SASSAFRAS,Midi Wrap Skirt,719,"4.3
|
1.8k","|
1.8k",https://www.myntra.com/skirts/sassafras/sassafras-black-midi-wrap-skirt/10604550/buy,"96% Polyester and 4% Spandex
Machine wash"
44,plusS,Accordion Pleated Skirt,367,"4.1
|
858","|
858",https://www.myntra.com/skirts/pluss/pluss-burgundy-accordion-pleated-a-line-skirt/12529352/buy,"Polyester 
Machine-wash"
45,Popwings,Women Pencil Skirt,584,"4.3
|
262","|
262",https://www.myntra.com/skirts/popwings/popwings-women-black--white-checked-printed-knee-length-pencil-skirt/18977848/buy,"Polyester
No special care required
Normal machine wash
Do not bleach & scrub
Do not wring & tumble dry"
46,SASSAFRAS,Women Twisted Midi Skirt,569,"4.2
|
497","|
497",https://www.myntra.com/skirts/sassafras/sassafras-women-blue-twisted-midi-skirt/15301324/buy,"96% Polyester 4% Spandex
Machine wash"
47,Berrylush,Checked Uniform Dressing Skirt,666,"4.5
|
78","|
78",https://www.myntra.com/skirts/berrylush/berrylush---pink-checked-uniform-dressing-skirt/19684324/buy,"Polyester
Machine Wash"
48,NEUDIS,Women Solid Flared Maxi Skirt,1349,"4
|
59","|
59",https://www.myntra.com/skirts/neudis/neudis-women-pink-solid-soft-net-flared-maxi-lehenga-skirt/17255432/buy,"Polyester Net
Hand-wash"
49,anayna,Pure Cotton Printed Maxi Skirt,759,"4.4
|
1.1k","|
1.1k",https://www.myntra.com/skirts/anayna/anayna-black--beige-printed-flared-pure-cotton-maxi-skirt/11227214/buy,"100% cotton
Machine-wash"
50,anayna,Pure Cotton Printed Maxi Skirt,759,"4.4
|
1.1k","|
1.1k",https://www.myntra.com/skirts/anayna/anayna-black--beige-printed-flared-pure-cotton-maxi-skirt/11227214/buy,"100% cotton
Machine-wash"
51,Athena,Women Shorts,599,"3.8
|
314","|
314",https://www.myntra.com/shorts/athena/athena-women-mustard-shorts/17251594/buy,"Polyester
Hand wash"
52,Roadster,Women Denim Shorts,799,"3.9
|
3k","|
3k",https://www.myntra.com/shorts/roadster/roadster-women-blue-denim-shorts/1814854/buy,"100% cotton
Machine-wash"
53,Varanga,Phulkari Tiered Pure Cotton Skirt,959,"4.2
|
619","|
619",https://www.myntra.com/skirts/varanga/varanga-multi-coloured-phulkari-printed-tiered-flared-maxi-pure-cotton-skirt/12124084/buy,"Pure Cotton
Hand-Wash"
54,SASSAFRAS,Solid Pencil Skirt,629,"4.4
|
220","|
220",https://www.myntra.com/skirts/sassafras/sassafras-black-solid-pencil-skirt/16044118/buy,"90% Cotton 10% Polyester
Machine Wash"
55,Tokyo Talkies,Women NA High-Rise Regular Shorts,517,"4.1
|
215","|
215",https://www.myntra.com/shorts/tokyo-talkies/tokyo-talkies-women-rust-brown-high-rise-regular-shorts/15678680/buy,"Cotton
Machine wash"
56,SASSAFRAS,Solid Pencil Skirt,674,"4.3
|
183","|
183",https://www.myntra.com/skirts/sassafras/-sassafras-women-maroon-solid-pencil-skirt/16043952/buy,"90% Cotton, 10% Polyester
Hand Wash"
57,Purple Feather,Formal Pencil Skirt,459,"4.2
|
2k","|
2k",https://www.myntra.com/skirts/purple-feather/purple-feather-black-formal-pencil-skirt/1096314/buy,"Cotton and Lycra
Hand-wash"
58,Berrylush,Abstract Crepe Skirt,455,"4.3
|
297","|
297",https://www.myntra.com/skirts/berrylush/berrylush-women-pretty-pink-abstract-crepe-skirt/16450160/buy,"Polyester, Machine Wash"
59,KASSUALLY,Checked Fit & Flare Midi Skirt,759,"4.3
|
21","|
21",https://www.myntra.com/skirts/kassually/kassually-checked-fit--flare-midi-skirt/21004274/buy,"Polyester & lycra
Hand-wash"
60,RARE,A-Line Midi Skirt,799,"4.4
|
958","|
958",https://www.myntra.com/skirts/rare/rare-navy-blue-a-line-midi-skirt/13277228/buy,"Polyester
Machine Wash in Cold Water
Dry in Shade for Lasting Color"
61,Van Heusen Woman,Formal Pencil Skirt,1957,"4.1
|
196","|
196",https://www.myntra.com/skirts/van-heusen-woman/van-heusen-woman-black-formal-pencil-skirt/12489138/buy,"62% Polyester, 33% Viscose and 5% Spandex
Machine-wash"
62,Roadster,Women Denim Shorts,949,"4.5
|
31","|
31",https://www.myntra.com/shorts/roadster/the-roadster-lifestyle-co-women-blue-denim-shorts-with-frayed-hem--cut-out-detail/18202534/buy,"76%Cotton, 23%Polyester, 1%Elastane
Machine wash"
63,MONTREZ,Women High-Rise Denim Shorts,599,"4
|
169","|
169",https://www.myntra.com/shorts/montrez/montrez-women-black-high-rise-denim-shorts/18453066/buy,Regular Machine Wash
64,Sera,Printed Flared Skirt,517,"4.2
|
1.4k","|
1.4k",https://www.myntra.com/skirts/sera/sera-black--off-white-printed-flared-skirt/7467729/buy,"100% polyester
Machine-wash"
65,SASSAFRAS,Solid Vacay Attire,999,"4.1
|
30","|
30",https://www.myntra.com/skirts/sassafras/sassafras-blue-solid-vacay-attire/19592174/buy,"96% Cotton 4% Lycra
Machine wash"
66,MANGO,Women Accordian Pleated Skirt,2874,"3.7
|
7","|
7",https://www.myntra.com/skirts/mango/mango-women-pink--cream-coloured-accordian-pleated-abstract-printed-a-line-skirt/19813536/buy,"100% polyester
Machine wash"
67,Roadster,Women Light Fade Denim Skirt,799,"4.5
|
320","|
320",https://www.myntra.com/skirts/roadster/roadster-women-blue-solid-light-fade-denim-skirt/11541598/buy,"98% Cotton, 2% Elastane
Machine Wash"
68,Berrylush,Ruffles Illusion Pant Skirt,1092,"4.2
|
2.2k","|
2.2k",https://www.myntra.com/skirts/berrylush/berrylush-layered-drama-pant--maxi-skirt/10393147/buy,
69,Oxolloxo,Accordion Pleated A-Line Midi Skirt,664,"4.1
|
514","|
514",https://www.myntra.com/skirts/oxolloxo/oxolloxo-black-accordion-pleated-a-line-midi-skirt/13740918/buy,"Polyester
Machine wash
Do not bleach
Do not tumble dry
Cool iron
Dry cleanable"
70,Moda Rapido,Women Embellished Skirt,1299,,,https://www.myntra.com/skirts/moda-rapido/moda-rapido-women-embellished-sequinned-straight-skirt/20211104/buy,"100% Polyester
Hand wash"
71,H&M,Jersey Cycling Shorts,699,"4.6
|
1.4k","|
1.4k",https://www.myntra.com/shorts/hm/hm-women-black-cotton-jersey-cycling-shorts/12696136/buy,"95% Cotton, 5% Elastane
Machine wash"
72,ZHEIA,Denim Straight Mini Skirt,849,"4.5
|
210","|
210",https://www.myntra.com/skirts/zheia/zheia-black-denim-straight-mini-skirt/14685306/buy,"Denim
Machine-wash"
73,SASSAFRAS,A-Line Pure Cotton Skirt,674,"4.3
|
447","|
447",https://www.myntra.com/skirts/sassafras/sassafras-green--navy-blue-checked-a-line-pure-cotton-skirt/16043964/buy,"100% Cotton
Machine Wash"
74,SASSAFRAS,Printed Asymmetric Skirt,662,"4.3
|
247","|
247",https://www.myntra.com/skirts/sassafras/sassafras-off-white--orange-floral-print-asymmetric-flared-midi-skirt/14498144/buy,"100% Poly Georgette
Machine-wash"
75,Roadster,Women Loose Fit Mid-Rise Denim Shorts,699,"4.3
|
297","|
297",https://www.myntra.com/shorts/roadster/roadster-women-blue-loose-fit-mid-rise-denim-shorts/13757374/buy,"92% Cotton , 8% Elastane
Machine wash"
76,Forever New,Printed Pleated Midi Skirt,4400,,,https://www.myntra.com/skirts/forever-new/forever-new-women--black--pink-floral-printed-flared-pleated-midi-skirt/20678980/buy,"Polyester
Machine-wash"
77,Shae by SASSAFRAS,Embroidered Anarkali Skirt,989,"4.4
|
176","|
176",https://www.myntra.com/skirts/shae-by-sassafras/shae-by-sassafras-maroon-embroidered-anarkali-skirt/15194440/buy,"100% Polyester
Dry Clean"
78,High Star,Women Solid A-Line Midi Denim Skirt,649,"4
|
257","|
257",https://www.myntra.com/skirts/high-star/high-star-women-black-solid-a-line-midi-denim-skirt/16440978/buy,"95% Cotton, 5% Polyester
Machine-wash"
79,Tokyo Talkies,Women Black Mini Skirt,436,"4.2
|
414","|
414",https://www.myntra.com/skirts/tokyo-talkies/tokyo-talkies-women-black-mini-skirt/16814628/buy,"70% Polyester 30% Viscose
Machine wash"
80,MANGO,Women Straight Midi Skirt,1436,"3.7
|
27","|
27",https://www.myntra.com/skirts/mango/mango-women-yellow-solid-straight-midi-skirt/18327850/buy,"Composition: 68% polyester,30% recycled polyester,2% elastane
Machine Wash"
81,Chemistry,Women Faux Leather Midi Skirt,2349,"4.7
|
11","|
11",https://www.myntra.com/skirts/chemistry/chemistry-women-black-faux-leather-a-line-midi-skirt/18242658/buy,"Shell: Polyester
Lining: Polyurethane
Dry Clean"
82,Popnetic,Straight Pure Cotton Skirt,559,"4.2
|
1.6k","|
1.6k",https://www.myntra.com/skirts/popnetic/popnetic-brown-straight-pure-cotton-skirt/9404677/buy,"100% cotton
Machine-wash"
83,Cultsport,Women Regular Fit Sports Shorts,934,"4.5
|
483","|
483",https://www.myntra.com/shorts/cultsport/cultsport-women-black-solid-regular-fit-sports-shorts/13061938/buy,"Material: Polyester
Machine Wash"
84,Berrylush,Floral Indie Gal Skirt,809,"4.2
|
57","|
57",https://www.myntra.com/skirts/berrylush/berrylush-attractive-red-floral-indie-gal-skirt/18815048/buy,"Jacquard
Machine Wash"
85,HRX by Hrithik Roshan,Women Training Shorts,749,"4.5
|
27","|
27",https://www.myntra.com/shorts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-training-women-jet-black-rapid-dry-solid-training-shorts/17254578/buy,"96% Polyester, 4% Elastane
Machine-wash"
86,NEUDIS,Striped Maxi Skirts,1699,"3.9
|
26","|
26",https://www.myntra.com/skirts/neudis/-neudis-women-orange-striped-maxi-skirts/18412800/buy,Material : Poly Silk || Dry Clean Only
87,Purple Feather,Women Knee-Length Pencil Skirt,459,"4
|
508","|
508",https://www.myntra.com/skirts/purple-feather/purple-feather-women-black-solid-formal-knee-length-pencil-skirt/17337984/buy,"96% Polyester and 4% Spandex
Machine wash"
88,Hypernation,Women Skinny Fit Cycling Sports Shorts,791,"4.4
|
359","|
359",https://www.myntra.com/shorts/hypernation/hypernation-women-black-skinny-fit-cycling-sports-shorts/17238278/buy,"95% Cotton 5% Lycra
Machine wash"
89,MANGO,Women Sustainable Skirt,1545,,,https://www.myntra.com/skirts/mango/mango-women-black--white-checked-a-line-mini-sustainable-skirt/19914268/buy,"64% polyester,34% viscose,2% elastane
Machine wash"
90,Shae by SASSAFRAS,Floral Brocade Skirt,1279,"4.4
|
12","|
12",https://www.myntra.com/skirts/shae-by-sassafras/shae-by-sassafras-maroon-floral-brocade-skirt/19753082/buy,"100% Polyester
Dry Clean"
91,MANGO,A-line Midi-Length Skirt,1836,"4.3
|
12","|
12",https://www.myntra.com/skirts/mango/mango-black-solid-a-line-midi-length-skirt/17270164/buy,"63% Polyester,34%Viscose,3%  Elastane
Bow: 63% Polyester,34%Viscose,3% Elastane
Machine wash"
92,FREAKINS,Women Solid Mini Skort,917,"4.8
|
5","|
5",https://www.myntra.com/skirts/freakins/freakins-women-white-solid-mini-skort/20340392/buy,"100% Cotton
Machine wash"
93,KASSUALLY,Front Bow Pencil Skirt,479,"4.3
|
1.4k","|
1.4k",https://www.myntra.com/skirts/kassually/kassually-black-front-bow-pencil-skirt/12670196/buy,"95% Polyester, 5% Lycra
Machine-wash"
94,Athena,Women Shorts,584,"4.2
|
38","|
38",https://www.myntra.com/shorts/athena/athena-women-pink-shorts/17251596/buy,"Polyester
Hand wash"
95,Allen Solly Woman,Above Knee A-Line Skirt,1601,,,https://www.myntra.com/skirts/allen-solly-woman/allen-solly-woman-above-knee-a-line-skirt/21267726/buy,"Polyester
Machine Wash"
96,Berrylush,Geometric Printed Pencil Skirt,303,"3.2
|
5","|
5",https://www.myntra.com/skirts/berrylush/berrylush-women-black-geometric-printed-pencil-skirt/20856348/buy,"Polyester
Machine Wash"
97,MANGO,Sustainable Flared Midi Skirt,2952,"4.2
|
5","|
5",https://www.myntra.com/skirts/mango/mango-charcoal-grey-solid-sustainable-accordion-pleated-flared-midi-skirt/20705816/buy,"70% polyester, 30% recycled polyester
Machine-wash"
98,SASSAFRAS,Women Solid Denim Midi Pencil Skirt,699,"4.5
|
13","|
13",https://www.myntra.com/skirts/sassafras/sassafras-women-pink-solid--denim-midi-pencil-skirt/20858778/buy,"100% Cotton
Hand Wash"
99,Roadster,Women High-Rise Denim Shorts,899,"4.6
|
8","|
8",https://www.myntra.com/shorts/roadster/the-roadster-lifestyle-co-women-high-rise-denim-shorts/18202222/buy,"98% cotton, 2% elastane
Machine wash"
