,brand,product,price,rating,rating_counts,link,material_info
0,Roadster,Women Cable Knit Pullover,759,"4.4
|
292","|
292",https://www.myntra.com/sweaters/roadster/roadster-women-magenta-cable-knit-acrylic-pullover/19798116/buy,"Acrylic 
Machine Wash"
1,98 Degree North,Women Ribbed Pullover,881,"4.4
|
1.2k","|
1.2k",https://www.myntra.com/sweaters/98-degree-north/98-degree-north-women-black-ribbed-pure-cotton-long-sleeves-pullover/15187646/buy,"100% Cotton
Regular Machine Wash"
2,Roadster,Women Self-Design Pullover,599,"3.8
|
2.5k","|
2.5k",https://www.myntra.com/sweaters/roadster/roadster-women-green-self-design-pullover/5447293/buy,"Acrylic
Machine-wash"
3,H&M,Jumper,799,"4.4
|
3.5k","|
3.5k",https://www.myntra.com/sweaters/hm/hm-women-black-solid-acrylic-jumper/15809044/buy,"100% Acrylic
Machine wash"
4,Kalt,Women Cable Knit Cardigan,1300,"4.3
|
149","|
149",https://www.myntra.com/sweaters/kalt/kalt-women-teal--round-neck-cable-knit-cardigan/18989528/buy,"Acrylic
Machine wash"
5,Roadster,Women Colourblocked Sweatshirt,629,"4.1
|
1.6k","|
1.6k",https://www.myntra.com/sweatshirts/roadster/the-roadster-lifestyle-co-women-black--off-white-colourblocked-sweatshirt/9477825/buy,"Cotton
Machine-wash"
6,H&M,Women Fine-Knit Jumper,799,"4.5
|
464","|
464",https://www.myntra.com/sweaters/hm/hm-women-fine-knit-jumper/20225438/buy,"100% Acrylic
Machine wash"
7,SASSAFRAS,Puff Faux Fur Sweatshirt,799,"4.4
|
3.4k","|
3.4k",https://www.myntra.com/sweatshirts/sassafras/sassafras-women-off-white-puff-sleeve-faux-fur-solid-sweatshirt/12737904/buy,"Material: Polyester
Dry Clean"
8,H&M,Oversized Printed Sweatshirt,2299,"4.4
|
5","|
5",https://www.myntra.com/sweatshirts/hm/hm-women-oversized-printed-sweatshirt/21466696/buy,"50% Cotton, 50% Polyester
Machine wash"
9,Roadster,Women Solid Pullover,494,"4.1
|
1.8k","|
1.8k",https://www.myntra.com/sweaters/roadster/roadster-women-peach-coloured-solid-pullover/12562880/buy,"Material: Acrylic
Machine Wash"
10,Fleximaa,Women Sweatshirt,749,"4.2
|
249","|
249",https://www.myntra.com/sweatshirts/fleximaa/fleximaa-women-maroon-hooded-sweatshirt/17949008/buy,"Cotton
Hand wash"
11,H&M,Women Rib-Knit Cardigan,1609,"4.3
|
27","|
27",https://www.myntra.com/sweaters/hm/hm-women-beige-rib-knit-cardigan/20959678/buy,"38% Acrylic, 2% Elastane, 8% Polyamide, 52% Polyester
Hand wash"
12,Roadster,Cable Knit Longline Cardigan,959,"4.2
|
10","|
10",https://www.myntra.com/sweaters/roadster/roadster-women-cable-knit-longline-cardigan/21391166/buy,"100% Acrylic
Machine Wash"
13,Zigo,Women Self Design Longline Cardigan,1567,"4.4
|
330","|
330",https://www.myntra.com/sweaters/zigo/zigo-women-maroon-self-design-longline-cardigan/13315454/buy,"Wool blend
Hand-wash"
14,Roadster,Women Hooded Sweatshirt,594,"4.2
|
1.5k","|
1.5k",https://www.myntra.com/sweatshirts/roadster/roadster-women-burgundy-solid-hooded-sweatshirt/6011833/buy,"Cotton
Machine-wash"
15,MANGO,Women Ribbed Longline Pullover,2874,"4
|
6","|
6",https://www.myntra.com/sweaters/mango/mango-women-sustainable-ribbed-longline-pullover/20841132/buy,"Composition: 66% polyester,17% acrylic,11% wool,3% alpaca,3% elastane
Hand Wash"
16,RIVZA,Women Floral Cardigan Sweater,1319,"4.4
|
54","|
54",https://www.myntra.com/sweaters/rivza/rivza-women-black--beige-floral-self-design-acrylic-cardigan-sweater-/20249472/buy,"Acrylic
Hand Wash"
17,ADIDAS,Women Hooded Sweatshirt,1999,"4.5
|
151","|
151",https://www.myntra.com/sweatshirts/adidas/adidas-women-black-solid-hooded-sweatshirt/14795276/buy,"70% cotton, 30% polyester
Machine Wash"
18,Tokyo Talkies,Women Ribbed Pullover,458,"4.2
|
2.7k","|
2.7k",https://www.myntra.com/sweaters/tokyo-talkies/tokyo-talkies-women-beige-ribbed-pullover/10990260/buy,"Acrylic
Machine-wash"
19,Roadster,Ethnic Motifs Cardigan,1199,"4.4
|
254","|
254",https://www.myntra.com/sweaters/roadster/roadster-women-black--white-ethnic-motifs-cardigan/20221816/buy,"Acrylic
Machine wash"
20,Zigo,Women Woolen Sweater,1574,"3.8
|
21","|
21",https://www.myntra.com/sweaters/zigo/zigo-women-sea-green--grey-cable-knit-woolen-cardigan-sweater/20852590/buy,"Wool
Machine Wash"
21,H&M,Women Rib-Knit Sweater Vest,799,"4.8
|
37","|
37",https://www.myntra.com/sweaters/hm/hm-women-rib-knit-acrylic-sweater-vest/21285280/buy,"100% Acrylic
Machine wash"
22,Kalt,Self Design Cardigan Sweater,1259,"4.4
|
327","|
327",https://www.myntra.com/sweaters/kalt/kalt-women-blue-self-design-cardigan-sweater/13998592/buy,"Material: Acrylic
Machine Wash"
23,STREET 9,Women Open Knit Sweater,909,"4.2
|
292","|
292",https://www.myntra.com/sweaters/street-9/street-9-women-gorgeous-red-colourblocked-knitted-sweater/16334158/buy,"100% Acrylic, Machine wash"
24,Roadster,Women Solid Sweatshirt,639,"4.2
|
2.4k","|
2.4k",https://www.myntra.com/sweatshirts/roadster/roadster-women-olive-green-solid-hooded-sweatshirt/5960778/buy,"Cotton blend
Machine-wash"
25,SASSAFRAS,Faux Fur Sweatshirt,799,"4.4
|
3.4k","|
3.4k",https://www.myntra.com/sweatshirts/sassafras/sassafras-women-blue-faux-fur-sweatshirt/12737902/buy,"Material: 100% polyester
Dry Clean"
26,Roadster,Women Round Neck Sweatshirt,319,"3.7
|
58","|
58",https://www.myntra.com/sweatshirts/roadster/the-roadster-life-co-women-round-neck-long-sleeves-sweatshirt/19156096/buy,"Cotton Blend
Machine wash"
27,MANGO,Women Sustainable Pullover,2214,"4.9
|
20","|
20",https://www.myntra.com/sweaters/mango/mango-women-blue-high-neck-sustainable-pullover/20840928/buy,"50% Viscose, 28% Polyester, 22% Polyamide
Hand-wash"
28,H&M,Women Hoodie,1499,"4.5
|
26","|
26",https://www.myntra.com/sweatshirts/hm/hm-women-hoodie/21160914/buy,"76% Cotton, 24% Polyester
Machine Wash"
29,98 Degree North,Women Ribbed Pullover,881,"4.3
|
388","|
388",https://www.myntra.com/sweaters/98-degree-north/98-degree-north-women-white-ribbed-pullover/15187606/buy,"Cotton
Machine wash"
30,MANGO,Women Cable Knit Pullover,2214,"4.3
|
14","|
14",https://www.myntra.com/sweaters/mango/mango-women-sustainable-cable-knit-pullover/20841072/buy,"Composition: 89% polyester,5% wool,3% alpaca,3% elastane
Hand Wash"
31,H&M,Women V-Neck Cable-Knit Jumper,974,"4.2
|
107","|
107",https://www.myntra.com/sweaters/hm/hm-women-blue-v-neck-cable-knit-jumper/20895536/buy,"100% Acrylic
Machine Wash"
32,Roadster,Women Floral Printed Cardigan,1199,"4.4
|
285","|
285",https://www.myntra.com/sweaters/roadster/roadster-women-maroon-floral-printed-cardigan/20221818/buy,100% ACRLIC
33,MANGO,Women Sustainable Cardigan,2874,"4.3
|
16","|
16",https://www.myntra.com/sweaters/mango/mango-women-off-white-open-knit-sustainable-cardigan/20705318/buy,"57% Polyester, 31% Cotton, 9% Acrylic, 3% Polyamide
Hand-wash"
34,H&M,Women V-Neck Cable-knit Jumper,1049,"4.4
|
218","|
218",https://www.myntra.com/sweaters/hm/hm-women-v-neck-cable-knit-jumper/20225502/buy,"100% Acrylic
Machine wash"
35,Tokyo Talkies,Women Solid Sweater,703,"4.2
|
40","|
40",https://www.myntra.com/sweaters/tokyo-talkies/tokyo-talkies-women-classy-purple-solid-sweater/20566614/buy,"Acrylic
Machine wash"
36,Zigo,Women Self Design Longline Cardigan,1567,"4.3
|
85","|
85",https://www.myntra.com/sweaters/zigo/zigo-women-beige-self-design-longline-cardigan/13315448/buy,"Wool blend
Hand-wash"
37,MANGO,Women Sustainable Pullover,3690,"4.3
|
40","|
40",https://www.myntra.com/sweaters/mango/mango-women-yellow-cable-knit-sustainable-pullover/20841304/buy,"89% Polyester, 5% Wool, 3% Alpaca, 3% Elastane
Hand wash"
38,H&M,Women Jacquard-Knit Jumper,1609,"4.5
|
30","|
30",https://www.myntra.com/sweaters/hm/hm-women-white--red-jacquard-knit-jumper/20959770/buy,"37% Acrylic, 10% Polyamide, 50% Polyester, 3% Wool
Dry clean"
39,Roadster,Solid Turtle Neck Pullover,870,"4.2
|
684","|
684",https://www.myntra.com/sweaters/roadster/roadster-women-black-solid-turtle-neck-pullover/14331596/buy,"100% acrylic
Machine wash"
40,H&M,Women Rib-Knit Sweater Vest,799,"4.5
|
291","|
291",https://www.myntra.com/sweaters/hm/hm-women-black-rib-knit-sweater-vest/19410098/buy,"100% Acrylic
Machine wash"
41,Monte Carlo,Woolen Solid V-Neck Cardigan,767,"3.9
|
7","|
7",https://www.myntra.com/sweaters/monte-carlo/monte-carlo-women-woolen-solid-v-neck-cardigan/21357316/buy,"Woolen
Machine wash"
42,Roadster,Solid Hooded Sweatshirt,384,"4.2
|
2.7k","|
2.7k",https://www.myntra.com/sweatshirts/roadster/roadster-women-red-solid-hooded-sweatshirt/11991110/buy,"Material: 50% Cotton, 50% Polyester
Machine Wash"
43,H&M,Women Rib-Knit Sweater Vest,799,"4.8
|
88","|
88",https://www.myntra.com/sweaters/hm/hm-women-rib-knit-sweater-vest/21072514/buy,"100% Acrylic
Hand Wash"
44,98 Degree North,Black Turtle Neck Sweater,881,"4.3
|
333","|
333",https://www.myntra.com/sweaters/98-degree-north/98-degree-north-women-black-self-design-turtle-neck-sweater/15187598/buy,"100% Cotton
Regular Machine Wash"
45,H&M,Sweatshirt,1049,"4
|
128","|
128",https://www.myntra.com/sweatshirts/hm/hm-women-black-solid-sweatshirt/19145318/buy,"60% Cotton, 40% Polyester
Machine wash"
46,Roadster,Women Solid Sweater,849,"4.3
|
426","|
426",https://www.myntra.com/sweaters/roadster/the-roadster-lifestyle-co-women-mustard-yellow-solid-sweater/10575464/buy,"Acrylic
Machine-wash"
47,MANGO,Sustainable Knitted Pullover,1494,"4.6
|
14","|
14",https://www.myntra.com/sweaters/mango/mango-women-green-solid-turtle-neck-sustainable-knitted-pullover/20840872/buy,"40% Viscose, 34% Polyester, 20% Polyamide, 6% Cashmere
Hand wash"
48,Tokyo Talkies,Women Turtle Neck Pullover,767,"4.3
|
44","|
44",https://www.myntra.com/sweaters/tokyo-talkies/tokyo-talkies-women-pink-turtle-neck-pullover/20083718/buy,"Acrylic
Machine wash"
49,Trendyol,Women Ribbed Acrylic Pullover,1439,"3.8
|
48","|
48",https://www.myntra.com/sweaters/trendyol/trendyol-women-fuchsia-ribbed-acrylic-pullover/20719372/buy,"100% Acrylic
Machine Wash"
50,Trendyol,Women Ribbed Acrylic Pullover,1439,"3.8
|
48","|
48",https://www.myntra.com/sweaters/trendyol/trendyol-women-fuchsia-ribbed-acrylic-pullover/20719372/buy,"100% Acrylic
Machine Wash"
51,her by invictus,Women Sweater,804,"4.5
|
274","|
274",https://www.myntra.com/sweaters/her-by-invictus/her-by-invictus-women-rust-orange-pullover/7383090/buy,"100% acrylic
Machine-wash"
52,H&M,Women Pullover Sweater,1839,"4.4
|
24","|
24",https://www.myntra.com/sweaters/hm/hm-women-self-design-pullover-sweater/20422892/buy,"50% Polyester, 45% Acrylic, 5% Wool"
53,Roadster,Women Striped Cardigan,519,"4
|
1.1k","|
1.1k",https://www.myntra.com/sweaters/roadster/roadster-women-green--yellow-striped-cardigan/5356269/buy,"Cotton
Machine-wash"
54,MANGO,Women Pullover,1854,"4.2
|
26","|
26",https://www.myntra.com/sweaters/mango/mango-women-beige-pullover/19914688/buy,"50% viscose,29% polyester,21% polyamide
Hand wash"
55,aarbee,Women Floral Cardigan,1139,"4.4
|
37","|
37",https://www.myntra.com/sweaters/aarbee/aarbee-women-navy-blue-floral-cardigan/20172462/buy,"Acrylic
No machine wash.Hand wash in cold water with a good quality detergent.Dry flat in shade."
