,brand,product,price,rating,rating_counts,link,material_info
0,SASSAFRAS,High Neck Cropped Top,499,"4.5
|
24.9k","|
24.9k",https://www.myntra.com/tops/sassafras/sassafras-black-high-neck-cropped-top/12222036/buy,"Material: 96% cotton, 4% Lycra 
Machine Wash"
1,STREET 9,Solid Cropped Top,594,"4.2
|
1.6k","|
1.6k",https://www.myntra.com/tops/street-9/street-9-women-elegant-lavender-solid-cropped-top/16311340/buy,"98%Cotton, 2% Spandex, Machine Wash"
2,QOMN,Print Mandarin Collar Empire Top,1049,"4.5
|
304","|
304",https://www.myntra.com/tops/qomn/qomn-blue-print-mandarin-collar-empire-pure-cotton-longline-top/19524874/buy,"100% cotton
Hand Wash"
3,HERE&NOW,Print Mandarin Collar Roll-Up Sleeves Top,599,"4.3
|
1k","|
1k",https://www.myntra.com/tops/herenow/herenow-women-olive-green--black-print-mandarin-collar-roll-up-sleeves-top/17669442/buy,"Viscose Rayon
Machine Wash separatly"
4,SHAYE,Empire Top,1763,"4.2
|
1.2k","|
1.2k",https://www.myntra.com/tops/shaye/shaye-cream-coloured-empire-top/16156728/buy,"100% Modal Satin
Dry Clean"
5,Vishudh,Printed High-Low Top,478,"4.2
|
1.5k","|
1.5k",https://www.myntra.com/tops/vishudh/vishudh-women-off-white-printed-high-low-top/10074651/buy,"Viscose Rayon
Machine-wash"
6,Pannkh,Ethnic Motifs Top,339,"4
|
11.3k","|
11.3k",https://www.myntra.com/tops/pannkh/pannkh-navy-blue-ethnic-motifs-pleated-keyhole-neck-top/2506738/buy,"Polyester
Machine-wash"
7,QUIERO,A-Line Top,696,"4.3
|
6.3k","|
6.3k",https://www.myntra.com/tops/quiero/quiero-black-peter-pan-a-line-top/5965271/buy,"Polyester
Machine-wash"
8,MANGO,Round Neck Striped Top,2163,"4.2
|
52","|
52",https://www.myntra.com/tops/mango/mango-cream-coloured--orange-round-neck-striped-top/19914076/buy,"100% Cotton
Machine wash"
9,KASSUALLY,Solid Knitted Top,587,"4.2
|
1.5k","|
1.5k",https://www.myntra.com/tops/kassually/kassually-stylish-black-solid-knitted-top/15720974/buy,Wash dark colour separately do not bleach warm iron if needed
10,SASSAFRAS,High Neck Cropped Top,415,"4.4
|
7.7k","|
7.7k",https://www.myntra.com/tops/sassafras/sassafras-black-high-neck-cropped-top/12221932/buy,"Material: 96% cotton, 4% Lycra 
Machine Wash"
11,Enamor,Women Acrylic Thermal Top,524,"4.1
|
490","|
490",https://www.myntra.com/thermal-tops/enamor/enamor-women-black-solid-acrylic-thermal-top/15728478/buy,"65% Acrylic, 30% Viscose & 5% Spandex
Gentle machine cold wash with like colours
Do not bleach
Tumble dry Do not iron
Do not dry clean"
12,KASSUALLY,Batwing Sleeves Shirt Top,764,"4.1
|
908","|
908",https://www.myntra.com/tops/kassually/kassually-women-gorgeous-green-solid-batwing-sleeves-shirt-top/16628736/buy,"100% Polyester
Machine wash"
13,plusS,Plus Size A-Line Top,559,"4
|
5k","|
5k",https://www.myntra.com/tops/pluss/pluss-olive-green-a-line-top/8715139/buy,"Polyester
Machine-wash"
