,brand,product,price,rating,rating_counts,link,material_info
0,KASSUALLY,Women Trousers,799,"4.1
|
7k","|
7k",https://www.myntra.com/trousers/kassually/kassually-women-black-trousers/12723704/buy,"Material: 95% Polyester, 5% Spandex
Machine Wash"
1,H&M,,1499,"4.5
|
2.4k","|
2.4k",https://www.myntra.com/trousers/hm/hm-women-black-cigarette-trousers/10431624/buy,"50% Polyester, 47% Cotton, 3% Elastane
Machine Wash"
2,H&M,Women Canvas Cargo Trousers,1499,"4.5
|
106","|
106",https://www.myntra.com/trousers/hm/hm-women-canvas-cargo-trousers/20242460/buy,"100% Cotton
Machine Wash"
3,H&M,Wide Twill Trousers,1299,"4.3
|
101","|
101",https://www.myntra.com/trousers/hm/hm-women-wide-twill-trousers/21211492/buy,"98% Cotton, 2% Elastane
machine wash"
4,ADDYVERO,Women High-Rise Trousers,543,"4.3
|
2.5k","|
2.5k",https://www.myntra.com/trousers/addyvero/addyvero-women-black-high-rise-easy-wash-trousers/19040144/buy,"96% Cotton, 4% Lycra"
5,Kotty,Women Straight Fit High-Rise Trousers,619,"4.1
|
471","|
471",https://www.myntra.com/trousers/kotty/kotty-women-teal-relaxed-straight-fit-high-rise-easy-wash-trousers/18697428/buy,"98% Polyster & 2%Lycra,
Machine wash"
6,Allen Solly Woman,Women Solid Trouser,1779,"4.4
|
199","|
199",https://www.myntra.com/trousers/allen-solly-woman/allen-solly-woman-women-black-solid-trouser/19568576/buy,"97% Polyester and 3% Spandex
Machine wash"
7,H&M,High-Waisted Joggers,1499,"4.4
|
1.1k","|
1.1k",https://www.myntra.com/trousers/hm/hm-women-black-high-waisted-joggers/14929104/buy,"80% Cotton, 20% Polyester
Machine wash"
8,SASSAFRAS,Women Twill Parallel Trousers,679,"4.2
|
13.6k","|
13.6k",https://www.myntra.com/trousers/sassafras/sassafras-women-white-twill-parallel-trousers/12288052/buy,"Material: Cotton
Machine Wash"
9,MAGRE,Women Loose Fit Parallel Trousers,989,"4.3
|
1.8k","|
1.8k",https://www.myntra.com/trousers/magre/magre-women-black-loose-fit-solid-parallel-trousers/8086083/buy,"100% Polyester
Machine-wash"
10,Next One,Women High-Rise Trouser,1289,"3.9
|
58","|
58",https://www.myntra.com/trousers/next-one/next-one-women-black-relaxed-straight-leg-high-rise-easy-wash-trouser/20887608/buy,"90% Cotton
5% Nylon
5% Spandex.
Hand Wash"
11,Marks & Spencer,Women Solid Flared Trousers,1999,"4.5
|
266","|
266",https://www.myntra.com/trousers/marks--spencer/marks--spencer-women-black-solid-pleated-flared-trousers/17000666/buy,"67% viscose, 30% polyester and 3% elastane
Machine Wash"
12,SASSAFRAS,Women Cotton Straight Trousers,679,"4.2
|
9.5k","|
9.5k",https://www.myntra.com/trousers/sassafras/sassafras-women-olive-green-pure-cotton-straight-trousers/13843132/buy,"Material: Cotton
Machine Wash"
13,Smarty Pants,Women Trousers,849,"4
|
646","|
646",https://www.myntra.com/trousers/smarty-pants/smarty-pants-women-black-trousers/18038792/buy,"Cotton
Wash in cold water only. Do not bleach. Wash dark colors separately."
14,SASSAFRAS,Women Parallel Trousers,559,"4
|
9.4k","|
9.4k",https://www.myntra.com/trousers/sassafras/sassafras-women-black-parallel-trousers/1688043/buy,"Polyester
Machine-wash"
15,H&M,Women Wide Trousers,1499,,,https://www.myntra.com/trousers/hm/hm-women-wide-trousers/21559786/buy,"5% Elastane, 95% Polyester
Machine Wash"
16,H&M,High-Waisted Tailored Trousers,1499,"4.4
|
11","|
11",https://www.myntra.com/trousers/hm/hm-women-high-waisted-tailored-trousers/21461080/buy,"5% Elastane, 95% Polyester
Machine Wash"
17,Tokyo Talkies,Women Tapered Fit Pleated Trousers,652,"3.9
|
857","|
857",https://www.myntra.com/trousers/tokyo-talkies/tokyo-talkies-women-beige-tapered-fit-pleated-trousers/16607342/buy,POLY VISCOSE Machine wash
18,Kotty,Women Straight Fit High-Rise Trousers,559,"3.4
|
74","|
74",https://www.myntra.com/trousers/kotty/kotty-women-relaxed-straight-leg-straight-fit-high-rise-easy-wash-trousers/20093730/buy,"Polyester
Machine wash"
19,BROADSTAR,Wide Leg Loose Fit Trouser,1289,"4.1
|
1.1k","|
1.1k",https://www.myntra.com/trousers/broadstar/broadstar-women-black-wide-leg-loose-fit--high-rise--trouser/19501930/buy,"Material : 90% Cotton
5% Nylon
5% Spandex.
Hand /Machine Wash"
20,SASSAFRAS,Women Trousers,569,"4.1
|
12.1k","|
12.1k",https://www.myntra.com/trousers/sassafras/sassafras-women-black-parallel-trousers/10856380/buy,"Polyester
Machine-wash"
21,MANGO,Women Flared Sustainable Trousers,2214,"3.6
|
24","|
24",https://www.myntra.com/trousers/mango/mango-women-black-flared-high-rise-sustainable-trousers/20705380/buy,"49% Polyester, 30% Recycled Polyester,17% Viscose, 4% Elastane
Machine wash"
22,Smarty Pants,Women Flared Trousers,799,"4.4
|
302","|
302",https://www.myntra.com/trousers/smarty-pants/smarty-pants-women-black-relaxed-straight-leg-flared-easy-wash-trousers/19871152/buy,"Cotton
Machine wash"
23,Van Heusen Woman,Women Formal Trousers,2046,,,https://www.myntra.com/trousers/van-heusen-woman/van-heusen-woman-formal-trousers/21187220/buy,"62% Polyester, 33% Viscose and 5% Spandex
Machine Wash"
24,FableStreet,Bootcut Formal Trousers,1916,"4.5
|
684","|
684",https://www.myntra.com/trousers/fablestreet/fablestreet-livin-bootcut-formal-trousers/15697870/buy,"Nylon
Hand wash"
25,Blissclub,Women On The Go Straight Pants,1999,"4.7
|
33","|
33",https://www.myntra.com/trousers/blissclub/blissclub-women-black-on-the-go-straight-pants-with-pintuck-design/19739118/buy,"80% Polyester, 20% Spandex
Hand Wash"
26,BROADSTAR,Women Formal Trousers,1289,"4.1
|
31","|
31",https://www.myntra.com/trousers/broadstar/broadstar-women-relaxed-high-rise-formal-trousers/21328206/buy,"Viscose Rayon 
Hand Wash"
27,FableStreet,Women Loose Fit Parallel Trousers,1996,"4.2
|
512","|
512",https://www.myntra.com/trousers/fablestreet/fablestreet-women-grey-solid-livin-loose-fit-parallel-trousers/13766266/buy,Material: Viscose Rayon
28,Kotty,Straight Fit High-Rise Trouser,619,"3.8
|
398","|
398",https://www.myntra.com/trousers/kotty/kotty-women-navy-blue-relaxed-straight-fit-high-rise-pleated-trouser/18697450/buy,"98% Polyester & 2%Lycra
Machine wash"
29,FableStreet,Women Straight Fit Formal Trousers,2096,"4.2
|
798","|
798",https://www.myntra.com/trousers/fablestreet/fablestreet-women-black-straight-fit-formal-trousers/10242711/buy,"Polyester
Dry-clean"
30,H&M,Flared Trousers,1724,"4.4
|
39","|
39",https://www.myntra.com/trousers/hm/hm-flared-trousers/20515556/buy,"2% Elastane, 80% Polyester, 12% Viscose
Line dry
Only non-chlorine bleach when needed
Machine wash at 40deg
Medium iron
No dry clean
Wash with similar colours"
31,FableStreet,Women Straight Fit High-Rise Trousers,2156,"4.4
|
74","|
74",https://www.myntra.com/trousers/fablestreet/fablestreet-women-livin-air-straight-fit-high-rise-trousers/19123606/buy,LyocellHandwash only with similar colours.Do not bleach.Do not tumble dry.
32,KASSUALLY,Women Pleated Trousers,879,"4.1
|
79","|
79",https://www.myntra.com/trousers/kassually/kassually-women-black-pleated-trousers/20482832/buy,"Polyester
Machine Wash"
33,DressBerry,Women Trousers,539,"4.3
|
1.2k","|
1.2k",https://www.myntra.com/trousers/dressberry/dressberry-women-black-regular-mid-rise-trousers/10440512/buy,"95% Polyester, 5% elastane
Hand-wash"
34,Mast & Harbour,Women Formal Trousers,1099,"3.9
|
1.7k","|
1.7k",https://www.myntra.com/trousers/mast--harbour/mast--harbour-women-black-formal-trousers/1454592/buy,"65% polyester, 35% rayon
Machine-wash"
