,brand,product,price,rating,rating_counts,link,material_info
0,Difference of Opinion,Printed Cotton T-shirt,545,"4.4
|
1.7k","|
1.7k",https://www.myntra.com/tshirts/difference-of-opinion/difference-of-opinion-women-black-conversational-printed-pure-cotton-oversized-t-shirt/15599320/buy,"Pure cotton
Machine wash"
1,DILLINGER,Women Pure Cotton T-shirt,515,"4.5
|
1.8k","|
1.8k",https://www.myntra.com/tshirts/dillinger/dillinger-women-navy-blue-typography-printed-pure-cotton-t-shirt/15598180/buy,"100% Cotton
Machine-wash"
2,H&M,Oversized printed T-shirt,974,"4.6
|
115","|
115",https://www.myntra.com/tshirts/hm/hm-women-beige-cotton-oversized-printed-t-shirt/19148410/buy,"100% Cotton
Machine Wash"
3,DILLINGER,Women Printed Oversized Tshirt,551,"4.5
|
1.4k","|
1.4k",https://www.myntra.com/tshirts/dillinger/dillinger-women-cream-coloured-printed-cotton-oversized-pure-cotton-t-shirt/15598130/buy,"100% Cotton
Machine wash"
4,DILLINGER,Women Printed Cotton Pure Cotton T-shirt,503,"4.4
|
2.6k","|
2.6k",https://www.myntra.com/tshirts/dillinger/dillinger-sage-green-graphic-printed-pure-cotton-oversized-pure-cotton-t-shirt/15338610/buy,"100% Cotton
Machine Wash"
5,DILLINGER,Printed Oversized Pure Cotton T-shirt,563,"4.5
|
4.6k","|
4.6k",https://www.myntra.com/tshirts/dillinger/dillinger-women-purple-typography-printed-drop-shoulder-sleeves-oversized-pure-cotton-t-shirt/13930788/buy,"100% cotton
Machine wash"
6,SASSAFRAS,Ribbed T-shirt,341,"4.5
|
12.1k","|
12.1k",https://www.myntra.com/tshirts/sassafras/sassafras-women-black-ribbed-t-shirt/12221910/buy,"Material: 96% cotton, 4% lycra
Machine Wash"
7,DILLINGER,Cotton Oversized T-Shirt,545,"4.6
|
574","|
574",https://www.myntra.com/tshirts/dillinger/dillinger-women-blue-printed-pure-cotton-loose-graphic-oversized-t-shirt/17132720/buy,"100 % Cotton
Machine wash"
8,DILLINGER,Printed Round Neck T-shirt,636,"4.2
|
2k","|
2k",https://www.myntra.com/tshirts/dillinger/dillinger-women-blue-printed-round-neck-oversized-t-shirt/13641766/buy,"Material: Cotton
Machine Wash"
9,Roadster,Women Cotton Pure Cotton T-shirt,239,"4
|
17k","|
17k",https://www.myntra.com/tshirts/roadster/roadster-women-white-cotton-pure-cotton-t-shirt/2355195/buy,"100% Cotton
Machine wash"
10,Difference of Opinion,Women Tie and Dye Dyed Loose T-shirt,713,"4.4
|
1.8k","|
1.8k",https://www.myntra.com/tshirts/difference-of-opinion/difference-of-opinion-women-multicoloured-tie-and-dye-dyed-loose-t-shirt/15399606/buy,"Cotton
Machine wash"
11,HRX by Hrithik Roshan,Rapid Dry Training T-shirt,449,"4.6
|
1.6k","|
1.6k",https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-women-black-rapid-dry-training-t-shirt/7695761/buy,"Knit T-shirt: 88% polyester, 12% elastane
Machine-wash"
12,DILLINGER,Printed Pure Cotton T-shirt,527,"4.4
|
1.1k","|
1.1k",https://www.myntra.com/tshirts/dillinger/dillinger-women-purple-printed-round-neck-pure-cotton-boxy-regular-pure-cotton-t-shirt/13641862/buy,"Material: 100% Cotton
Machine Wash"
13,Difference of Opinion,Women Printed Loose Pure Cotton T-shirt,571,"4.5
|
2.1k","|
2.1k",https://www.myntra.com/tshirts/difference-of-opinion/difference-of-opinion-women-black-printed-oversized-pure-cotton-t-shirt/15326180/buy,"Cotton
Machine wash"
14,HRX by Hrithik Roshan,Running Rapid-Dry T-shirt,404,"4.5
|
16.6k","|
16.6k",https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-women-jet-black-rapid-dry-running-t-shirt/10565642/buy,"Knit T-Shirt
Fabric: 100% Polyester
Machine Wash"
15,MKH,Women Typography Printed Dri-FIT T-shirt,449,"4.3
|
393","|
393",https://www.myntra.com/tshirts/mkh/mkh-women-black-typography-printed-dri-fit-sports-t-shirt/18659102/buy,"90% Polyester, 10% Spandex
Follow the garment wash care label
Can be tumble dried in a cool setting if machine washed
Prevent static build-up by drying while damp
Use low heat to iron"
16,Puma,Women Brand Logo Printed T-shirt,1349,"3.7
|
24","|
24",https://www.myntra.com/tshirts/puma/puma-women-black-evostripe-brand-logo-printed-t-shirt/19834790/buy,"65% Polyester, 35% Viscose
Machine wash"
17,Levis,Women Printed T-shirt,769,"4.5
|
168","|
168",https://www.myntra.com/tshirts/levis/levis-women-purple--white-printed-pure-cotton-t-shirt/18069032/buy,"100% Cotton
Machine-wash"
18,HRX by Hrithik Roshan,Women Solid Round Neck T-shirt,349,"4.3
|
1.5k","|
1.5k",https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-women-pink-solid-round-neck-t-shirt/8328665/buy,"Cotton
Machine-wash"
19,Roadster,Solid Round Neck Pure Cotton T-shirt,299,"4.2
|
669","|
669",https://www.myntra.com/tshirts/roadster/roadster-women-maroon-solid-round-neck-pure-cotton-t-shirt/12193884/buy,"Material: 100% cotton
Machine Wash"
20,The Souled Store,Women Printed T-shirt,629,"4.7
|
330","|
330",https://www.myntra.com/tshirts/the-souled-store/the-souled-store-women-white-disney-princess-printed-oversized-t-shirt/17633666/buy,"Polyester
Machine Wash"
21,Roadster,Printed Cotton Pure Cotton T-shirt,499,"4.2
|
4.3k","|
4.3k",https://www.myntra.com/tshirts/roadster/the-roadster-lifestyle-co-women-lavender-printed-cotton-pure-cotton-t-shirt/10968582/buy,"Material: 100% Cotton
Machine Wash"
22,Roadster,Polo Collar T-shirt,499,"4.2
|
5.6k","|
5.6k",https://www.myntra.com/tshirts/roadster/the-roadster-lifestyle-co-women-mauve-polo-collar-t-shirt/10969910/buy,"Material: 100% viscose rayon
Machine Wash"
23,DILLINGER,Printed Round Neck T-shirt,636,"4.4
|
1.5k","|
1.5k",https://www.myntra.com/tshirts/dillinger/dillinger-women-black-printed-round-neck-oversized-t-shirt/13641810/buy,"Material: Cotton
Machine Wash"
24,VEIRDO,Women Zebra Oversize T-shirt,539,"4.2
|
1.1k","|
1.1k",https://www.myntra.com/tshirts/veirdo/veirdo-women-white--black-zebra-print-cotton-oversize-t-shirt/14888594/buy,"Pure Cotton
Machine wash"
25,MANGO,Ribbed Sustainable T-shirt,945,"4.5
|
58","|
58",https://www.myntra.com/tshirts/mango/mango-women-pink-ribbed-sustainable-t-shirt/19914488/buy,"Composition: 63% recycled polyester , 33% viscose and 4% elastane
Machine Wash"
26,MANGO,Ribbed Sustainable T-shirt,894,"4.4
|
86","|
86",https://www.myntra.com/tshirts/mango/mango-women-black-high-neck-ribbed-sustainable-t-shirt/19594126/buy,"Composition: 96% viscose and 4% elastane
Machine Wash"
27,H&M,Women T-Shirt With a Motif,999,"5
|
6","|
6",https://www.myntra.com/tshirts/hm/hm-women-t-shirt-with-a-motif/21460554/buy,"97% Cotton, 3% Otherfibres
Machine-Wash"
28,DILLINGER,Tie and Dye Oversized Pure Cotton T-shirt,779,"4.5
|
1.2k","|
1.2k",https://www.myntra.com/tshirts/dillinger/dillinger-women-yellow--turquoise-blue-tie--dye-drop-shoulder-sleeves-oversized-pure-cotton-t-shirt/14861362/buy,"100% Cotton
Machine wash"
29,Roadster,Striped Round Neck Pure Cotton T-shirt,349,"4.1
|
3.1k","|
3.1k",https://www.myntra.com/tshirts/roadster/roadster-women-black--white-striped-round-neck-pure-cotton-t-shirt/7178240/buy,"100% cotton
Machine-wash"
30,Roadster,Printed Boxy Fit T-shirt,319,"4.1
|
6.6k","|
6.6k",https://www.myntra.com/tshirts/roadster/roadster-women-green-printed-boxy-fit-t-shirt/10968502/buy,"Material: Cotton
Machine Wash"
31,Mast & Harbour,Cotton Pure Cotton T-shirt with Print,374,"4.4
|
2.4k","|
2.4k",https://www.myntra.com/tshirts/mast--harbour/mast--harbour-women-purple-cotton-pure-cotton-t-shirt-with-printed-detail/12253660/buy,"Material: 100% Cotton
Machine Wash"
32,Roadster,Women Cotton Pure Cotton T-shirt,209,"4.3
|
8k","|
8k",https://www.myntra.com/tshirts/roadster/roadster-women-mustard-yellow-cotton-pure-cotton-t-shirt/8661663/buy,"100% cotton
Machine-wash"
33,Bewakoof,Women Oversized se T-shirt,449,"4.3
|
129","|
129",https://www.myntra.com/tshirts/bewakoof/bewakoof-women-black-oversized-t-shirt/19041972/buy,"Single Jersey, 100% Cotton"
34,MANGO,Women Sustainable T-shirt,945,"4.2
|
26","|
26",https://www.myntra.com/tshirts/mango/mango-women-black-scoop-neck-sustainable-t-shirt/19914644/buy,"63% recycled polyester,33% viscose,4% elastane
Machine wash"
35,MANGO,Solid Sustainable T-shirt,945,"4.1
|
35","|
35",https://www.myntra.com/tshirts/mango/mango-women-white-solid-sustainable-t-shirt/19914500/buy,"Composition: 63% recycled polyester , 33% viscose and 4% elastane
Machine Wash"
36,Kook N Keech,Round Neck Boxy Pure Cotton T-shirt,599,"4.4
|
1.2k","|
1.2k",https://www.myntra.com/tshirts/kook-n-keech/kook-n-keech-women-black-printed-round-neck-boxy-pure-cotton-t-shirt/10926786/buy,"Material: 100% Cotton
Machine Wash"
37,Puma,Maroon Printed Pure Cotton T-shirt,599,"4.5
|
273","|
273",https://www.myntra.com/tshirts/puma/puma-women-maroon-graphic-tee18-red-dahli-pure-cotton-printed-pure-cotton-t-shirt/13889130/buy,"100% cotton
Machine-wash"
38,H&M,Women Printed T-Shirt,499,"4.6
|
37","|
37",https://www.myntra.com/tshirts/hm/hm-women-printed-t-shirt/21140766/buy,"100% Cotton
Machine Wash"
39,Kook N Keech Disney,Pure Cotton Boxy T-shirt,384,"3.9
|
1.2k","|
1.2k",https://www.myntra.com/tshirts/kook-n-keech-disney/kook-n-keech-disney-women-white-pure-cotton-mickey-mouse-print-boxy-t-shirt/12959166/buy,"Material: Cotton
Machine Wash"
40,HRX by Hrithik Roshan,Running Rapid-Dry T-shirt,539,"4.4
|
8.4k","|
8.4k",https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-women-barbados-cherry-rapid-dry-running-t-shirt/10565470/buy,"Knit T-Shirt
Fabric: 100% Polyester
Machine Wash"
41,Roadster,Printed Round Neck T-shirt,299,"4.4
|
2.9k","|
2.9k",https://www.myntra.com/tshirts/roadster/roadster-women-rust-orange--off-white-printed-round-neck-t-shirt/12193076/buy,"Material: Cotton
Machine Wash"
42,DILLINGER,Loose Printed Longline Cotton Pure Cotton T-shirt,563,"4.6
|
3.2k","|
3.2k",https://www.myntra.com/tshirts/dillinger/dillinger-women-rust-pink-printed-longline-oversized-cotton-pure-cotton-t-shirt/13903568/buy,"Material: 100% Cotton
Machine Wash"
