word,count
,9514
,4917
,1762
blend,1704
,1469
,1100
,1003
,475
,463
poly,383
,361
,358
,293
dupion,240
,208
,184
art,169
,140
satin,135
,129
net,119
,105
jacquard,98
,97
,93
knit,85
polycotton,54
,49
,46
,44
,38
polyviscose,35
,35
,34
organic,28
,28
rib,27
,27
,25
liva,24
brocade,24
,23
,20
,19
fiber,18
flax,18
blended,17
,15
tweed,13
faux,13
woven,12
polygeorgette,12
lurex,11
jersey,11
polychiffon,10
jaquard,10
polycrepe,10
alpaca,10
lace,9
cambric,9
mesh,8
terry,8
cottonmachine,8
viscous,7
tissue,7
cotton2,7
synthetic,7
fibre,7
wase,6
silkblend,6
sequins,6
voile,5
raw,5
slik,5
flex,5
bamboo,5
gsm,5
twill,5
sustainable,5
metallisedfibre,5
otherfibres,5
elastene,5
cashmere,5
shantoon,4
tussar,4
cottton,4
muslin,4
chinon,4
zari,4
mul,4
lyocellhandwash,4
vortex,4
gorgette,4
polyesterlining,4
french,4
supernet,3
polyestermachine,3
cupro,3
purecotton,3
reyon,3
polysilk,3
hemp,3
polyamid,3
georgetteblouse,3
elastic,3
miyabi,3
micro,3
supima,3
luke,3
suede,3
polyesterpadding,3
polyestertrim,3
weave,3
cottonlining,3
kota,2
doriya,2
polyrayon,2
bend,2
polyvisocse,2
georgett,2
cottn,2
taffeta,2
lycramachine,2
knitted,2
tencel,2
terylene,2
merino,2
cotton65polyester32elastane3,2
khadi,2
ploy,2
brasso,2
mulberry,2
georgettedry,2
oraganza,2
polymoss,2
polyfill,2
moss,2
sequin,2
natural,2
cupromonium,2
cottonsilk,2
wipe,2
duck,2
feather,2
polyesterfilling,2
knits,2
acrlic,2
woolen,2
yarn,2
velour,2
comber,2
mulmul,1
georgettedupatta,1
georgettebottom,1
cototn,1
cotto,1
selub,1
katha,1
poyester,1
cottom,1
elasthane,1
polyest,1
shantung,1
polyesteer,1
visose,1
geogette,1
polyetser,1
plyester,1
poplin,1
velvete,1
poluyester,1
doria,1
hosiery,1
sequence,1
tencil,1
coton,1
ponte,1
ctn,1
corduroy,1
canvas,1
cooton,1
tobe,1
nedd,1
elastne,1
sdilk,1
greogette,1
tusser,1
orangza,1
orangaza,1
organz,1
chiffonblouse,1
sahntun,1
orgenza,1
silkcotton,1
georgettewash,1
vlevet,1
polycott,1
cottpn,1
lyra,1
terephthalate,1
polyethylene,1
microfiber,1
lenin,1
kora,1
fur,1
polyesterrib,1
polyesterbody,1
nylonshell,1
cotton45,1
elastane2,1
cotton98,1
dhupion,1
cotton60,1
polyammide,1
chenile,1
plyamide,1
polyeste,1
ribbing,1
recyled,1
recycleed,1
merinowool,1
